gene_name,entrezID
ALAS2,212
ALB,213
ALCAM,214
ALDH18A1,5832
ALDH1A1,216
ALDH1A2,8854
ALDH1A3,220
ALDH1B1,219
ALDH1L1,10840
ALDH2,217
ALDH3A1,218
ALDH3A2,224
ALDH3B1,221
ALDH3B2,222
ALDH4A1,8659
ALDH5A1,7915
ALDH6A1,4329
ALDH7A1,501
ALDH8A1,64577
ALDH9A1,223
ALDOA,226
ALDOB,229
ALDOC,230
ALG12,79087
ALG13,79868
ALG3,10195
ALG5,29880
ALG6,29929
ALG8,79053
ALG9,79796
ALK,238
ALKBH1,8846
ALKBH4,54784
ALLC,55821
ALMS1,7840
ALOX12,239
ALOX12B,242
ALOX12P2,245
ALOX15,246
ALOX15B,247
ALOX5,240
ALOX5AP,241
ALOXE3,59344
ALPG,251
ALPI,248
ALPK1,80216
ALPK3,57538
ALPL,249
ALPP,250
ALS2CL,259173
ALX1,8092
ALX3,257
ALX4,60529
AMACR,23600
AMBN,258
AMBP,259
AMBRA1,55626
AMD1,262
AMDHD2,51005
AMELX,265
AMELY,266
AMFR,267
AMH,268
AMHR2,269
AMIGO2,347902
AMMECR1,9949
AMN,81693
AMOT,154796
AMOTL2,51421
AMPD1,270
AMPD2,271
AMPD3,272
AMPH,273
AMT,275
AMY1A,276
AMZ2,51321
ANAPC1,64682
ANAPC10,10393
ANAPC13,25847
ANAPC15,25906
ANAPC2,29882
ANAPC5,51433
ANG,283
ANGEL1,23357
ANGEL2,90806
ANGPT1,284
ANGPT2,285
ANGPT4,51378
ANGPTL2,23452
ANGPTL3,27329
ANGPTL4,51129
ANGPTL7,10218
ANGPTL8,55908
ANK1,286
ANK2,287
ANK3,288
ANKEF1,63926
ANKFY1,51479
ANKH,56172
ANKHD1,54882
ANKHD1-EIF4EBP3,404734
ANKLE2,23141
ANKMY1,51281
ANKMY2,57037
ANKRA2,57763
ANKRD1,27063
ANKRD10,55608
ANKRD11,29123
ANKRD12,23253
ANKRD17,26057
ANKRD2,26287
ANKRD26,22852
ANKRD27,84079
ANKRD28,23243
ANKRD34C,390616
ANKRD36B,57730
ANKRD40,91369
ANKRD40CL,55018
ANKRD46,157567
ANKRD49,54851
ANKRD53,79998
ANKRD55,79722
ANKRD6,22881
ANKRD7,56311
ANKS1A,23294
ANKS1B,56899
ANKZF1,55139
ANO1,55107
ANO10,55129
ANO2,57101
ANO3,63982
ANOS1,3730
ANP32A,8125
ANP32B,10541
ANP32D,23519
ANP32E,81611
ANPEP,290
ANTKMT,65990
ANTXR1,84168
ANXA1,301
ANXA10,11199
ANXA11,311
ANXA13,312
ANXA2,302
ANXA3,306
ANXA4,307
ANXA5,308
ANXA6,309
ANXA7,310
ANXA9,8416
AOAH,313
AOC1,26
AOC2,314
AOC3,8639
AOC4P,90586
AOPEP,84909
AOX1,316
AP1AR,55435
AP1B1,162
AP1G1,164
AP1G2,8906
AP1M2,10053
AP1S1,1174
AP1S2,8905
AP2A2,161
AP2B1,163
AP2M1,1173
AP2S1,1175
AP3B1,8546
AP3B2,8120
AP3D1,8943
AP3M2,10947
AP3S1,1176
AP3S2,10239
AP4E1,23431
AP4M1,9179
AP4S1,11154
AP5M1,55745
AP5S1,55317
AP5Z1,9907
APAF1,317
APBA1,320
APBA2,321
APBA3,9546
APBB1,322
APBB1IP,54518
APBB2,323
APBB3,10307
APC,324
APC2,10297
APCS,325
APEH,327
APEX1,328
APEX2,27301
APH1A,51107
APH1B,83464
API5,8539
APIP,51074
APLNR,187
APLP1,333
APLP2,334
APMAP,57136
APOA1,335
APOA2,336
APOA4,337
APOB,338
APOBEC1,339
APOBEC2,10930
APOBEC3A,200315
APOBEC3B,9582
APOBEC3C,27350
APOBEC3F,200316
APOBEC3G,60489
APOBR,55911
APOC1,341
APOC2,344
APOC3,345
APOC4,346
APOD,347
APOE,348
APOF,319
APOH,350
APOL1,8542
APOL2,23780
APOL3,80833
APOL5,80831
APOL6,80830
APOLD1,81575
APOM,55937
APOO,79135
APOOL,139322
APP,351
APPBP2,10513
APPL1,26060
APPL2,55198
APRT,353
APTX,54840
AQP1,358
AQP2,359
AQP3,360
AQP4,361
AQP5,362
AQP6,363
AQP7,364
AQP8,343
AQP9,366
AQR,9716
AR,367
ARAF,369
ARAP1,116985
ARAP2,116984
ARAP3,64411
ARC,23237
ARCN1,372
AREG,374
AREL1,9870
ARF1,375
ARF3,377
ARF4,378
ARF5,381
ARF6,382
ARFGAP1,55738
ARFGAP2,84364
ARFGAP3,26286
ARFGEF1,10565
ARFGEF2,10564
ARFIP1,27236
ARFIP2,23647
ARFRP1,10139
ARG1,383
ARG2,384
ARGLU1,55082
ARHGAP1,392
ARHGAP10,79658
ARHGAP11A,9824
ARHGAP12,94134
ARHGAP15,55843
ARHGAP17,55114
ARHGAP19,84986
ARHGAP22,58504
ARHGAP24,83478
ARHGAP25,9938
ARHGAP26,23092
ARHGAP28,79822
ARHGAP29,9411
ARHGAP32,9743
ARHGAP33,115703
ARHGAP35,2909
ARHGAP4,393
ARHGAP44,9912
ARHGAP45,23526
ARHGAP5,394
ARHGAP6,395
ARHGAP8,23779
ARHGDIA,396
ARHGDIB,397
ARHGDIG,398
ARHGEF1,9138
ARHGEF10,9639
ARHGEF10L,55160
ARHGEF11,9826
ARHGEF12,23365
ARHGEF15,22899
ARHGEF16,27237
ARHGEF17,9828
ARHGEF18,23370
ARHGEF2,9181
ARHGEF26,26084
ARHGEF28,64283
ARHGEF3,50650
ARHGEF38,54848
ARHGEF4,50649
ARHGEF40,55701
ARHGEF5,7984
ARHGEF6,9459
ARHGEF7,8874
ARHGEF9,23229
ARID1A,8289
ARID3A,1820
ARID3B,10620
ARID4A,5926
ARID4B,51742
ARID5A,10865
ARID5B,84159
ARIH1,25820
ARIH2,10425
ARL1,400
ARL14,80117
ARL15,54622
ARL17A,51326
ARL17B,51326
ARL2,402
ARL2BP,23568
ARL3,403
ARL4A,10124
ARL4C,10123
ARL4D,379
ARL5A,26225
ARL6IP1,23204
ARL6IP4,51329
ARL6IP5,10550
ARL8B,55207
ARMC1,55156
ARMC6,93436
ARMC7,79637
ARMC8,25852
ARMC9,80210
ARMCX1,51309
ARMCX2,9823
ARMCX3,51566
ARMCX5,64860
ARMCX6,54470
ARMH3,79591
ARMT1,79624
ARNT,405
ARNT2,9915
ARPC1A,10552
ARPC1B,10095
ARPC2,10109
ARPC3,10094
ARPC4,10093
ARPC5,10092
ARPC5L,81873
ARPIN,348110
ARPP19,10776
ARPP21,10777
ARR3,407
ARRB1,408
ARRB2,409
ARSA,410
ARSB,411
ARSD,414
ARSF,416
ARSJ,79642
ARSL,415
ART1,417
ART3,419
ART4,420
ARTN,9048
ARVCF,421
ASAH1,427
ASAP1,50807
ASAP2,8853
ASAP3,55616
ASB1,51665
ASB13,79754
ASB4,51666
ASB6,140459
ASB7,140460
ASB8,140461
ASB9,140462
ASCC1,51008
ASCC2,84164
ASCC3,10973
ASCL1,429
ASCL2,430
ASCL3,56676
ASF1A,25842
ASF1B,55723
ASGR1,432
ASGR2,433
ASH1L,55870
ASH2L,9070
ASIC1,41
ASIC2,40
ASIC3,9311
ASIC4,55515
ASIP,434
ASL,435
ASMT,438
ASMTL,8623
ASNS,440
ASNSD1,54529
ASPA,443
ASPH,444
ASPHD1,253982
ASPM,259266
ASPN,54829
ASPSCR1,79058
ASRGL1,80150
ASS1,445
ASTE1,28990
ASTN1,460
ASTN2,23245
ASXL1,171023
ASXL2,55252
ATAD2,29028
ATAD2B,54454
ATAD3A,55210
ATAD5,79915
ATAT1,79969
ATF1,466
ATF2,1386
ATF3,467
ATF4,468
ATF5,22809
ATF6,22926
ATF6B,1388
ATF7,11016
ATF7IP,55729
ATF7IP2,80063
ATG10,83734
ATG101,60673
ATG12,9140
ATG13,9776
ATG14,22863
ATG16L1,55054
ATG2A,23130
ATG2B,55102
ATG3,64422
ATG4A,115201
ATG4B,23192
ATG5,9474
ATG7,10533
ATIC,471
ATL2,64225
ATM,472
ATMIN,23300
ATN1,1822
ATOH1,474
ATOSB,80256
ATOX1,475
ATP10A,57194
ATP10B,23120
ATP10D,57205
ATP11A,23250
ATP11B,23200
ATP12A,479
ATP13A1,57130
ATP13A2,23400
ATP13A3,79572
ATP1A1,476
ATP1A2,477
ATP1A3,478
ATP1B1,481
ATP1B2,482
ATP1B3,483
ATP1B4,23439
ATP2A1,487
ATP2A2,488
ATP2A3,489
ATP2B1,490
ATP2B2,491
ATP2B3,492
ATP2B4,493
ATP2C1,27032
ATP2C2,9914
ATP4A,495
ATP4B,496
ATP5F1A,498
ATP5F1B,506
ATP5F1C,509
ATP5F1D,513
ATP5F1E,514
ATP5IF1,93974
ATP5MC1,516
ATP5MC2,517
ATP5MC3,518
ATP5ME,521
ATP5MF,9551
ATP5MG,10632
ATP5MJ,9556
ATP5PB,515
ATP5PD,10476
ATP5PF,522
ATP5PO,539
ATP6AP1,537
ATP6AP2,10159
ATP6V0A1,535
ATP6V0A2,23545
ATP6V0A4,50617
ATP6V0B,533
ATP6V0C,527
ATP6V0D1,9114
ATP6V0E1,8992
ATP6V0E2,155066
ATP6V1A,523
ATP6V1B1,525
ATP6V1B2,526
ATP6V1C1,528
ATP6V1D,51382
ATP6V1E1,529
ATP6V1F,9296
ATP6V1G1,9550
ATP6V1G2,534
ATP6V1H,51606
ATP7A,538
ATP7B,540
ATP8A1,10396
ATP8A2,51761
ATP8B1,5205
ATP8B2,57198
ATP8B3,148229
ATP8B4,79895
ATP9A,10079
ATP9B,374868
ATPAF2,91647
ATR,545
ATRAID,51374
ATRN,8455
ATRNL1,26033
ATRX,546
ATXN1,6310
ATXN10,25814
ATXN2,6311
ATXN2L,11273
ATXN3,4287
ATXN3L,92552
ATXN7,6314
ATXN7L1,222255
ATXN7L3B,552889
AUH,549
AUNIP,79000
AUP1,550
AURKA,6790
AURKAIP1,54998
AURKB,9212
AURKC,6795
AUTS2,26053
AVEN,57099
AVIL,10677
AVL9,23080
AVP,551
AVPI1,60370
AVPR1A,552
AVPR1B,553
AVPR2,554
AXIN1,8312
AXL,558
AZGP1,563
AZI2,64343
AZIN1,51582
AZU1,566
B2M,567
B3GALNT1,8706
B3GALT1,8708
B3GALT2,8707
B3GALT4,8705
B3GALT5,10317
B3GAT1,27087
B3GAT3,26229
B3GNT2,10678
B3GNT3,10331
B3GNT4,79369
B3GNTL1,146712
B4GALNT1,2583
B4GALT1,2683
B4GALT2,8704
B4GALT3,8703
B4GALT4,8702
B4GALT5,9334
B4GALT6,9331
B4GALT7,11285
B4GAT1,11041
B9D1,27077
B9D2,80776
BAALC,79870
BAAT,570
BABAM1,29086
BABAM2,9577
BACE1,23621
BACE2,25825
BACH1,571
BACH2,60468
BAD,572
BAG1,573
BAG2,9532
BAG3,9531
BAG4,9530
BAG5,9529
BAG6,7917
BAHCC1,57597
BAHD1,22893
BAIAP2,10458
BAIAP2L2,80115
BAIAP3,8938
BAK1,578
BAMBI,25805
BANF1,8815
BANK1,55024
BANP,54971
BAP1,8314
BARD1,580
BARX1,56033
BARX2,8538
BASP1,10409
BATF,10538
BATF3,55509
BAX,581
BAZ1A,11177
BAZ1B,9031
BAZ2A,11176
BAZ2B,29994
BBC3,27113
BBIP1,92482
BBLN,79095
BBOF1,80127
BBOX1,8424
BBS1,582
BBS10,79738
BBS4,585
BBS7,55212
BBS9,27241
BBX,56987
BCAM,4059
BCAN,63827
BCAP29,55973
BCAP31,10134
BCAR3,8412
BCAS1,8537
BCAS2,10286
BCAS3,54828
BCAS4,55653
BCAT1,586
BCAT2,587
BCCIP,56647
BCHE,590
BCKDHA,593
BCKDHB,594
BCKDK,10295
BCL10,8915
BCL11A,53335
BCL11B,64919
BCL2,596
BCL2A1,597
BCL2L1,598
BCL2L10,10017
BCL2L11,10018
BCL2L13,23786
BCL2L14,79370
BCL2L2,599
BCL3,602
BCL6,604
BCL7A,605
BCL7B,9275
BCL7C,9274
BCL9,607
BCLAF1,9774
BCO1,53630
BCOR,54880
BCORL1,63035
BCR,613
BCS1L,617
BDH1,622
BDH2,56898
BDKRB1,623
BDKRB2,624
BDNF,627
BEAN1,146227
BECN1,8678
BEGAIN,57596
BEND5,79656
BEST1,7439
BEST2,54831
BET1,10282
BET1L,51272
BEX1,55859
BEX3,27018
BEX4,56271
BFAR,51283
BFSP1,631
BFSP2,8419
BGN,633
BHLHE40,8553
BHLHE41,79365
BHMT,635
BHMT2,23743
BICC1,80114
BICD1,636
BICD2,23299
BICDL1,92558
BICRA,29998
BICRAL,23506
BID,637
BIK,638
BIN1,274
BIN2,51411
BIN3,55909
BIRC2,329
BIRC3,330
BIRC5,332
BIRC7,79444
BLCAP,10904
BLK,640
BLM,641
BLMH,642
BLNK,29760
BLOC1S1,2647
BLTP1,84162
BLTP2,9703
BLTP3B,23074
BLVRA,644
BLVRB,645
BLZF1,8548
BMAL1,406
BMAL2,56938
BMERB1,89927
BMI1,648
BMP1,649
BMP10,27302
BMP15,9210
BMP2,650
BMP2K,55589
BMP3,651
BMP4,652
BMP5,653
BMP6,654
BMP7,655
BMP8A,353500
BMP8B,656
BMPER,168667
BMPR1A,657
BMPR1B,658
BMPR2,659
BMS1,9790
BMX,660
BNC1,646
BNC2,54796
BNIP1,662
BNIP2,663
BNIP3,664
BNIP3L,665
BOK,666
BOLA1,51027
BOLA2,552900
BOLA2B,552900
BOP1,23246
BORA,79866
BORCS6,54785
BPESC1,60467
BPGM,669
BPHL,670
BPI,671
BPIFA1,51297
BPNT1,10380
BPNT2,54928
BPTF,2186
BPY2B,442867
BRAF,673
BRAP,8315
BRCA1,672
BRCA2,675
BRCC3,79184
BRD1,23774
BRD2,6046
BRD3,8019
BRD3OS,266655
BRD4,23476
BRD7,29117
BRD8,10902
BRD9,65980
BRDT,676
BRF1,2972
BRF2,55290
BRINP1,1620
BRINP2,57795
BRINP3,339479
BRIP1,83990
BRIX1,55299
BRME1,79173
BRMS1,25855
BRPF1,7862
BRS3,680
BRSK2,9024
BRWD1,54014
BSDC1,55108
BSG,682
BSN,8927
BSPRY,54836
BST1,683
BST2,684
BTAF1,9044
BTBD1,53339
BTBD2,55643
BTBD3,22903
BTBD7,55727
BTBD9,114781
BTC,685
BTD,686
BTF3,689
BTG1,694
BTG2,7832
BTG3,10950
BTG4,54766
BTK,695
BTN1A1,696
BTN2A1,11120
BTN2A2,10385
BTN2A3P,54718
BTN3A1,11119
BTN3A2,11118
BTN3A3,10384
BTNL2,56244
BTNL3,10917
BTNL8,79908
BTRC,8945
BUB1,699
BUB1B,701
BUB3,9184
BUD23,114049
BUD31,8896
BYSL,705
BZW1,9689
BZW2,28969
C10orf88,80007
C10orf95,79946
C11orf1,64776
C11orf16,56673
C11orf21,29125
C11orf24,53838
C11orf58,10944
C11orf68,83638
C11orf71,54494
C11orf80,79703
C12orf29,91298
C12orf4,57102
C12orf43,64897
C14orf132,56967
C14orf178,283579
C14orf93,60686
C15orf39,56905
C17orf75,64149
C17orf80,55028
C18orf25,147339
C19orf53,28974
C19orf54,284325
C19orf73,55150
C1D,10438
C1GALT1,56913
C1GALT1C1,29071
C1QA,712
C1QB,713
C1QBP,708
C1QL1,10882
C1QTNF1,114897
C1QTNF3,114899
C1R,715
C1RL,51279
C1S,716
C1orf105,92346
C1orf109,54955
C1orf112,55732
C1orf115,79762
C1orf116,79098
C1orf159,54991
C1orf174,339448
C1orf21,81563
C1orf216,127703
C1orf35,79169
C1orf50,79078
C1orf54,79630
C1orf56,54964
C2,717
C20orf27,54976
C21orf62,56245
C21orf91,54149
C22orf31,25770
C22orf46,79640
C2CD2,25966
C2CD2L,9854
C2CD3,26005
C2CD5,9847
C2orf42,54980
C2orf49,79074
C2orf68,388969
C2orf72,257407
C2orf83,56918
C3,718
C3AR1,719
C3orf14,57415
C3orf18,51161
C3orf36,80111
C3orf52,79669
C4BPA,722
C4BPB,725
C4orf19,55286
C4orf46,201725
C5,727
C5AR1,728
C5AR2,27202
C5orf15,56951
C5orf22,55322
C6,729
C6orf120,387263
C6orf15,29113
C6orf47,57827
C6orf62,81688
C7,730
C7orf25,79020
C8A,731
C8B,732
C8G,733
C8orf33,65265
C8orf44,56260
C9,735
C9orf40,55071
C9orf78,51759
CA1,759
CA10,56934
CA11,770
CA12,771
CA14,23632
CA2,760
CA3,761
CA4,762
CA5A,763
CA5B,11238
CA5BP1,340591
CA6,765
CA7,766
CA8,767
CA9,768
CAAP1,79886
CAB39,51719
CAB39L,81617
CABIN1,23523
CABP1,9478
CABP2,51475
CABYR,26256
CACFD1,11094
CACNA1A,773
CACNA1B,774
CACNA1C,775
CACNA1D,776
CACNA1E,777
CACNA1F,778
CACNA1G,8913
CACNA1H,8912
CACNA1I,8911
CACNA1S,779
CACNA2D1,781
CACNA2D2,9254
CACNA2D3,55799
CACNB1,782
CACNB2,783
CACNB3,784
CACNB4,785
CACNG1,786
CACNG2,10369
CACNG3,10368
CACNG4,27092
CACNG5,27091
CACTIN,58509
CACYBP,27101
CAD,790
CADM1,23705
CADM3,57863
CADM4,199731
CADPS,8618
CADPS2,93664
CALB1,793
CALB2,794
CALCA,796
CALCB,797
CALCOCO1,57658
CALCOCO2,10241
CALCR,799
CALCRL,10203
CALD1,800
CALHM2,51063
CALM1,801
CALM2,805
CALM3,808
CALML3,810
CALML4,91860
CALML5,51806
CALR,811
CALU,813
CALY,50632
CAMK1,8536
CAMK1D,57118
CAMK1G,57172
CAMK2A,815
CAMK2B,816
CAMK2D,817
CAMK2G,818
CAMK2N1,55450
CAMK4,814
CAMKK2,10645
CAMKMT,79823
CAMKV,79012
CAMLG,819
CAMP,820
CAMSAP1,157922
CAMSAP2,23271
CAMTA1,23261
CAMTA2,23125
CAND1,55832
CAND2,23066
CANT1,124583
CANX,821
CAP1,10487
CAP2,10486
CAPG,822
CAPN1,823
CAPN10,11132
CAPN11,11131
CAPN15,6650
CAPN2,824
CAPN3,825
CAPN5,726
CAPN6,827
CAPN7,23473
CAPN9,10753
CAPNS1,826
CAPRIN1,4076
CAPRIN2,65981
CAPZA1,829
CAPZA2,830
CAPZB,832
CARD10,29775
CARD14,79092
CARD8,22900
CARD9,64170
CARF,79800
CARHSP1,23589
CARM1,10498
CARMIL1,55604
CARS1,833
CARS2,79587
CARTPT,9607
CASC3,22794
CASD1,64921
CASK,8573
CASKIN2,57513
CASP1,834
CASP10,843
CASP2,835
CASP3,836
CASP4,837
CASP5,838
CASP6,839
CASP7,840
CASP8,841
CASP8AP2,9994
CASP9,842
CASQ1,844
CASQ2,845
CASR,846
CASS4,57091
CAST,831
CASZ1,54897
CAT,847
CATSPER2,117155
CATSPERB,79820
CATSPERD,257062
CATSPERG,57828
CAV1,857
CAV2,858
CAV3,859
CAVIN1,284119
CAVIN2,8436
CAVIN3,112464
CBARP,255057
CBFA2T2,9139
CBFA2T3,863
CBFB,865
CBL,867
CBLB,868
CBLC,23624
CBLIF,2694
CBLL1,79872
CBLN1,869
CBR1,873
CBR3,874
CBR4,84869
CBS,875
CBX1,10951
CBX2,84733
CBX3,11335
CBX4,8535
CBX5,23468
CBX6,23466
CBX7,23492
CBX8,57332
CBY1,25776
CC2D1A,54862
CCAR2,57805
CCDC102B,79839
CCDC103,388389
CCDC106,29903
CCDC121,79635
CCDC134,79879
CCDC14,64770
CCDC144A,9720
CCDC15,80071
CCDC170,80129
CCDC177,56936
CCDC181,57821
CCDC186,55088
CCDC198,55195
CCDC22,28952
CCDC25,55246
CCDC28A,25901
CCDC28B,79140
CCDC33,80125
CCDC40,55036
CCDC47,57003
CCDC51,79714
CCDC57,284001
CCDC59,29080
CCDC6,8030
CCDC68,80323
CCDC69,26112
CCDC7,79741
CCDC70,83446
CCDC71,64925
CCDC81,60494
CCDC85B,11007
CCDC85C,317762
CCDC86,79080
CCDC87,55231
CCDC88A,55704
CCDC88C,440193
CCDC9,26093
CCDC90B,60492
CCDC91,55297
CCDC92,80212
CCDC93,54520
CCHCR1,54535
CCIN,881
CCK,885
CCKAR,886
CCKBR,887
CCL1,6346
CCL11,6356
CCL13,6357
CCL14,6358
CCL16,6360
CCL17,6361
CCL18,6362
CCL19,6363
CCL2,6347
CCL20,6364
CCL21,6366
CCL22,6367
CCL23,6368
CCL24,6369
CCL25,6370
CCL27,10850
CCL4,6351
CCL5,6352
CCL7,6354
CCL8,6355
CCN1,3491
CCN2,1490
CCN3,4856
CCN4,8840
CCN5,8839
CCN6,8838
CCNA1,8900
CCNA2,890
CCNB1,891
CCNB1IP1,57820
CCNB2,9133
CCNC,892
CCND1,595
CCND2,894
CCND3,896
CCNE1,898
CCNE2,9134
CCNF,899
CCNG1,900
CCNG2,901
CCNH,902
CCNI,10983
CCNJ,54619
CCNJL,79616
CCNK,8812
CCNL1,57018
CCNL2,81669
CCNO,10309
CCNP,79935
CCNT1,904
CCNT2,905
CCP110,9738
CCPG1,9236
CCR1,1230
CCR10,2826
CCR3,1232
CCR4,1233
CCR5,1234
CCR6,1235
CCR7,1236
CCR8,1237
