disease,signature_type,exp_id,cmap_score,p,q,subset_comparison_id,analysis_id,name,concentration,duration,cell_line,array_platform,vehicle,vendor,vendor_catalog_id,vendor_catalog_name,drug_concept_id,cas_number,DrugBank.ID,valid
Alzheimer's_disease,CMAP,61,-0.110308576353198,0.46431,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,NU-1025,0.0001,6,MCF7,HG-U133A,DMSO,Calbiochem,493800,NU1025,,,,
Alzheimer's_disease,CMAP,39,-0.178831836302603,0.11173,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,SC-58125,1e-05,6,MCF7,HG-U133A,DMSO,Cayman Chemical,70655,SC-58125,,,,
Alzheimer's_disease,CMAP,163,-0.128510028470662,0.38504,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,TTNPB,1e-07,6,PC3,HG-U133A,DMSO,Sigma-Aldrich,T3757,TTNPB,EXPT03128,,DB02877,
Alzheimer's_disease,CMAP,152,0.205678132443906,0.04041,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,W-13,1e-05,6,MCF7,HG-U133A,medium,Calbiochem,681636,"W-13, hydrochloride",,,,
Alzheimer's_disease,CMAP,63,-0.122956770204552,0.41414,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,acetylsalicylic acid,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,A2093,"aspirin, USP",EXPT00475,,DB00945,
Alzheimer's_disease,CMAP,10,-0.244891372374291,0.00587,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,alpha-estradiol,1e-08,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,E8750,alpha-estradiol,,,,
Alzheimer's_disease,CMAP,410,0.100611834091812,0.48631,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,alvespimycin,1e-07,6,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,100069,17-DMAG,,,,
Alzheimer's_disease,CMAP,21,-0.113883479379108,0.45251,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,amitriptyline,1e-06,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,A8404,amitriptyline hydrochloride,C0002600,,DB00321,
Alzheimer's_disease,CMAP,226,0.24030912245702,0.00756,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,arachidonyltrifluoromethane,1e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,A231,arachidonyl trifluoromethyl ketone,,,,
Alzheimer's_disease,CMAP,78,-0.11149620197759,0.46036,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,azathioprine,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,A2593,"azathioprine, USP",C0887732,,DB00993,
Alzheimer's_disease,CMAP,253,0.169333769161401,0.1512,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,benserazide,1e-05,6,MCF7,HG-U133A,medium,Sigma-Aldrich,B7283,benserazide hydrochloride,C0005014,,,
Alzheimer's_disease,CMAP,285,-0.143955260748384,0.29317,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,bucladesine,2e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,D0627,"N6,2-O-dibutyryladenosine 3,5-cyclic monophosphate sodium salt",,,,
Alzheimer's_disease,CMAP,235,-0.131877893383185,0.36615,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,butein,1e-05,6,MCF7,HG-U133A,DMSO,VWR,80050-502,butein,,,,
Alzheimer's_disease,CMAP,182,-0.118347581412109,0.43522,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,calmidazolium,5e-06,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,21265,calmidazolium chloride,,,,
Alzheimer's_disease,CMAP,102,0.100487784857542,0.48654,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,celecoxib,1e-05,6,MCF7,HG-U133A,DMSO,LKT Laboratories,C1644,celecoxib,C0538927,,DB00482,
Alzheimer's_disease,CMAP,413,-0.203483511591468,0.04446,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,chlorpromazine,1e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,C0982,chlorpromazine hydrochloride,C0008286,,DB00477,
Alzheimer's_disease,CMAP,43,-0.154810030305172,0.22755,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,ciclosporin,1e-06,6,MCF7,HG-U133A,ethanol,Calbiochem,239835,cyclosporine A,,,DB00091,
Alzheimer's_disease,CMAP,156,0.11994878873674,0.42837,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,clofibrate,0.0001,6,MCF7,HG-U133A,ethanol,Calbiochem,231405,clofibrate,C0009002,,DB00636,
Alzheimer's_disease,CMAP,315,-0.120175446732561,0.42744,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,clotrimazole,5e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,233230,clotrimazole,C0009074,,DB00257,
Alzheimer's_disease,CMAP,129,0.105381113945127,0.4773,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,clozapine,1e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,C6305,clozapine,C0009079,,DB00363,
Alzheimer's_disease,CMAP,166,-0.150454218594151,0.25352,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,cobalt chloride,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,C8661,cobalt(II) chloride hexahydrate,,,,
Alzheimer's_disease,CMAP,247,-0.123279871864438,0.41242,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,colchicine,1e-06,6,SKMEL5,HG-U133A,DMSO,Calbiochem,234115,colchicine,C0009262,,DB01394,
Alzheimer's_disease,CMAP,150,-0.148147768807628,0.26728,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,copper sulfate,0.0001,6,MCF7,HG-U133A,medium,Sigma-Aldrich,203165,copper(II) sulfate pentahydrate,C0056301,,,
Alzheimer's_disease,CMAP,328,-0.149259156755915,0.26028,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,decitabine,1e-07,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,A3656,5-aza-2&#8242;-deoxycytidine,C0049065,,DB01262,
Alzheimer's_disease,CMAP,172,-0.150446397748558,0.25356,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,deferoxamine,0.0001,6,PC3,HG-U133A,medium,Sigma-Aldrich,D-9533,deferoxamine mesylate salt,C0011145,,DB00746,
Alzheimer's_disease,CMAP,359,-0.136491115314269,0.33944,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,depudecin,1e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Biomol,EI-319,(-)-depudecin,,,,
Alzheimer's_disease,CMAP,40,-0.169478518910167,0.1507,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,dexamethasone,1e-06,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,D4902,dexamethasone,C1372970,,DB01234,
Alzheimer's_disease,CMAP,157,0.140648391105169,0.31346,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,diclofenac,1e-05,6,PC3,HG-U133A,DMSO,Sigma-Aldrich,D6899,diclofenac sodium,C0700583,,DB00586,
Alzheimer's_disease,CMAP,187,0.149546161641808,0.25864,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,dopamine,1e-06,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,H8502,dopamine hydrochloride,C0013030,,DB00988,
Alzheimer's_disease,CMAP,91,-0.146996349852014,0.27398,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,estradiol,1e-07,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,E1024,"estradiol, USP",C1330622,,DB00783,
Alzheimer's_disease,CMAP,57,-0.184274291319297,0.0932,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,exisulind,5e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,S1438,sulindac sulfone,MMS_438,,,
Alzheimer's_disease,CMAP,77,-0.0974552638840487,0.49063,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,felodipine,1e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,F9677,felodipine,C0015772,,DB01023,
Alzheimer's_disease,CMAP,51,0.098950924593187,0.48878,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,fludrocortisone,1e-06,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,F6127,fludrocortisone acetate,C0616274,,DB00687,
Alzheimer's_disease,CMAP,394,-0.120700329871911,0.42512,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,fluphenazine,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,F8548,fluphenazine dihydrochloride,C0700567,,DB00623,
Alzheimer's_disease,CMAP,58,-0.116131241686826,0.4444,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,fulvestrant,1e-08,6,MCF7,HG-U133A,DMSO,Tocris,1047,"ICI 182,780",C0935916,,DB00947,
Alzheimer's_disease,CMAP,208,-0.101422934537757,0.48482,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,gefitinib,1e-05,6,HL60,HG-U133A,DMSO,AstraZeneca,Iressa,Iressa,C1122962,,DB00317,
Alzheimer's_disease,CMAP,385,-0.100885647940243,0.48585,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,geldanamycin,1e-06,6,MCF7,HT_HG-U133A_EA,DMSO,MP Biomedicals,195994,geldanamycin,EXPT01571,,DB02424,
Alzheimer's_disease,CMAP,392,-0.095021596230263,0.49374,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,genistein,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,345834,genistein,,,DB01645,
Alzheimer's_disease,CMAP,400,-0.172964264296315,0.1351,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,haloperidol,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,H1512,haloperidol,C0720809,,DB00502,
Alzheimer's_disease,CMAP,353,-0.167856090902388,0.15841,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,ikarugamycin,2e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Biomol,EI-313,ikarugamycin,,,,
Alzheimer's_disease,CMAP,184,-0.173892442983948,0.13128,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,iloprost,1e-06,6,MCF7,HG-U133A,DMSO,Cayman Chemical,18215,iloprost,C0079594,,DB01088,
Alzheimer's_disease,CMAP,92,0.109198990679398,0.46748,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,imatinib,1e-05,6,MCF7,HG-U133A,DMSO,Novartis,Gleevec,Gleevec,C0935989,,DB00619,
Alzheimer's_disease,CMAP,164,0.120744566186377,0.42482,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,indometacin,0.0001,6,PC3,HG-U133A,DMSO,Sigma-Aldrich,I8280,"indomethacin, USP",,,DB00328,
Alzheimer's_disease,CMAP,74,0.16407803637535,0.17733,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,mercaptopurine,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,M7000,6-mercaptopurine monohydrate,APRD01096,,DB01033,
Alzheimer's_disease,CMAP,8,0.159978664147116,0.19938,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,metformin,1e-05,6,MCF7,HG-U133A,medium,Sigma-Aldrich,D5035,"1,1-dimethylbiguanide hydrochloride",C0025598,,DB00331,
Alzheimer's_disease,CMAP,265,-0.149357637136678,0.25964,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,monastrol,0.0001,6,MCF7,HG-U133A,DMSO,Tocris,1305,monastrol,EXPT02296,,DB04331,
Alzheimer's_disease,CMAP,180,-0.127896936449867,0.38843,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,monorden,1e-07,6,PC3,HG-U133A,DMSO,LKT Laboratories,R0212,radicicol,,,,
Alzheimer's_disease,CMAP,76,-0.156871099687524,0.21618,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,nitrendipine,1e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,N144,nitrendipine,C0028127,,DB01054,
Alzheimer's_disease,CMAP,419,0.102288663681748,0.4831,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,nordihydroguaiaretic acid,1e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,157619,nordihydroguaiaretic acid,,,,
Alzheimer's_disease,CMAP,147,-0.137615774889528,0.33278,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,novobiocin,0.0001,6,PC3,HG-U133A,medium,Sigma-Aldrich,N6160,"novobiocin sodium, USP",C0028458,,DB01051,
Alzheimer's_disease,CMAP,154,0.167108700126962,0.16194,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,oligomycin,1e-06,6,MCF7,HG-U133A,ethanol,Sigma-Aldrich,861944,oligomycin,,,,
Alzheimer's_disease,CMAP,350,0.156886257841652,0.21608,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,oxaprozin,0.0003,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,O9637,oxaprozin,C0069739,,DB00991,
Alzheimer's_disease,CMAP,251,-0.162306631332709,0.18702,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,pentamidine,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,P0547,pentamidine isethionate salt,C0030863,,DB00738,
Alzheimer's_disease,CMAP,177,-0.227103483641267,0.01505,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,pirinixic acid,0.0001,6,PC3,HG-U133A,DMSO,Calbiochem,681725,WY-14643,,,,
Alzheimer's_disease,CMAP,332,-0.173448354491157,0.13306,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,prazosin,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,P7791,prazosin hydrochloride,C0700578,,DB00457,
Alzheimer's_disease,CMAP,224,-0.146479331516172,0.27703,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,probucol,1e-05,6,MCF7,HG-U133A,DMSO,Calbiochem,529618,probucol,C0033215,,DB01599,
Alzheimer's_disease,CMAP,167,-0.157384238737426,0.21313,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,prochlorperazine,1e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,P9178,prochlorperazine dimaleate salt,C0770888,,DB00433,
Alzheimer's_disease,CMAP,325,-0.123905349027598,0.40932,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,quercetin,1e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,551600,quercetin dihydrate,C0034392,,DB04216,
Alzheimer's_disease,CMAP,293,-0.149974678043444,0.25624,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,quinostatin,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,ChemDiv,C768-0445,C768-0445,,,,
Alzheimer's_disease,CMAP,168,0.144777310378159,0.28785,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,quinpirole,1e-06,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,Q102,(-)-quinpirole hydrochloride,,,,
Alzheimer's_disease,CMAP,25,0.210454636047811,0.03258,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,raloxifene,1e-07,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,R1402,raloxifene hydrochloride,C0618111,,DB00481,
Alzheimer's_disease,CMAP,227,-0.135059761370652,0.34801,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,resveratrol,5e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,R5010,resveratrol,EXPT02968,,DB02709,
Alzheimer's_disease,CMAP,20,0.169574849016286,0.1502,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,rofecoxib,1e-05,6,MCF7,HG-U133A,DMSO,LKT Laboratories,R5722,rofecoxib,C0762662,,DB00533,
Alzheimer's_disease,CMAP,390,-0.122865696732356,0.41466,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,rosiglitazone,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,LKT Laboratories,R5772,rosiglitazone,C0289313,,DB00412,
Alzheimer's_disease,CMAP,331,-0.133022099577687,0.36013,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,rottlerin,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Tocris,1610,rottlerin,,,,
Alzheimer's_disease,CMAP,364,-0.203070266901906,0.04518,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,sirolimus,1e-07,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,R0395,Rapamycin,C0072980,,DB00877,
Alzheimer's_disease,CMAP,121,-0.184314325989783,0.09305,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,sodium phenylbutyrate,0.001,6,MCF7,HG-U133A,medium,Calbiochem,567616,sodium 4-phenylbutyrate,,,DB06819,
Alzheimer's_disease,CMAP,257,-0.207314564710563,0.03757,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,splitomicin,2e-05,6,PC3,HG-U133A,DMSO,Sigma-Aldrich,S4068,splitomicin,,,,
Alzheimer's_disease,CMAP,27,-0.132438796370178,0.36314,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,sulfasalazine,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,S0883,sulfasalazine,C0036078,,DB00795,
Alzheimer's_disease,CMAP,55,-0.1665497312882,0.16475,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,sulindac,5e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,S8139,sulindac,C0038792,,DB00605,
Alzheimer's_disease,CMAP,56,-0.136257090704636,0.3407,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,sulindac sulfide,5e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,S3131,sulindac sulfide,,,,
Alzheimer's_disease,CMAP,103,-0.111097342515497,0.46175,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,tacrolimus,1e-06,6,MCF7,HG-U133A,DMSO,LC Laboratories,F-4900,FK-506,C0085149,,DB00864,
Alzheimer's_disease,CMAP,15,-0.162681057520748,0.18486,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,tamoxifen,1e-06,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,T9262,tamoxifen citrate,C0039286,,DB00675,
Alzheimer's_disease,CMAP,383,-0.176354291323986,0.12146,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,tanespimycin,1e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Tocris,1515,17-AAG,,,,
Alzheimer's_disease,CMAP,119,-0.145924304237062,0.28062,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,tetraethylenepentamine,0.0001,6,MCF7,HG-U133A,medium,Sigma-Aldrich,375683,tetraethylenepentamine pentahydrochloride,,,,
Alzheimer's_disease,CMAP,234,-0.122796554596257,0.41501,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,thalidomide,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,T144,(+/-)-thalidomide,C0039736,,DB01041,
Alzheimer's_disease,CMAP,130,0.0913717669393582,0.4967,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,thioridazine,1e-05,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,T9025,thioridazine hydrochloride,C0039943,,DB00679,
Alzheimer's_disease,CMAP,14,-0.180156757146121,0.1068,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,tolbutamide,0.0001,6,MCF7,HG-U133A,DMSO,Sigma-Aldrich,T0891,tolbutamide,C0040374,,DB01124,
Alzheimer's_disease,CMAP,323,0.138705088638497,0.32605,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,topiramate,3e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,T0575,topiramate,C0076829,,DB00273,
Alzheimer's_disease,CMAP,113,-0.14995505083469,0.25637,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,tretinoin,1e-06,6,HL60,HG-U133A,DMSO,Sigma-Aldrich,R2625,retinoic acid,C0040845,,DB00755,
Alzheimer's_disease,CMAP,299,-0.155975940719881,0.22098,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,trichostatin A,1e-06,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,T8552,trichostatin A ,,,,
Alzheimer's_disease,CMAP,381,-0.163500909254805,0.18047,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,trifluoperazine,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,T6062,trifluoperazine dihydrochloride,C0304381,,DB00831,
Alzheimer's_disease,CMAP,426,-0.0980486224644636,0.48995,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,troglitazone,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Sigma-Aldrich,T2573,troglitazone,C0245514,,DB00197,
Alzheimer's_disease,CMAP,246,-0.170533245106869,0.14579,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,valproic acid,0.001,6,SKMEL5,HG-U133A,DMSO,Sigma-Aldrich,P4543,2-propylpentanoic acid,,,DB00313,
Alzheimer's_disease,CMAP,416,-0.146646151801096,0.27609,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,vorinostat,1e-05,6,MCF7,HT_HG-U133A_EA,DMSO,BioVision,1604-1,SAHA,MMS_422,,DB02546,
Alzheimer's_disease,CMAP,320,-0.16014199344101,0.19855,0.977086486486487,filefb0210a2fb3_logFC_0,CMAP,wortmannin,1e-08,6,MCF7,HT_HG-U133A_EA,DMSO,Calbiochem,681675,wortmannin,,,,
Alzheimer's_disease,TAHOE,,,,,,,,,,,,,,,,,,,
Amyotrophic_lateral_sclerosis,CMAP,,,,,,,,,,,,,,,,,,,
Amyotrophic_lateral_sclerosis,TAHOE,,,,,,,,,,,,,,,,,,,
Asthma,CMAP,210,0.108048062226353,0.47355,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,"1,5-isoquinolinediol",0.0001,6,HL60,HG-U133A,DMSO,Sigma-Aldrich,I138,"1,5-Isoquinolinediol",,,,
Asthma,CMAP,24,-0.116086912142809,0.44768,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,15-delta prostaglandin J2,1e-05,6,MCF7,HG-U133A,DMSO,Calbiochem,538927,15d-PGJ2,,,,
Asthma,CMAP,82,-0.128697772250629,0.38744,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,2-deoxy-D-glucose,0.01,6,MCF7,HG-U133A,medium,Sigma-Aldrich,D3179,2-deoxy-D-glucose,,,DB08831,
Asthma,CMAP,217,-0.145369319343389,0.28874,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,"4,5-dianilinophthalimide",1e-05,6,PC3,HG-U133A,DMSO,Sigma-Aldrich,D-210,DAPH,,,,
Asthma,CMAP,314,-0.0681955962758264,0.50131,0.958470837004405,filefb03c9e9086_logFC_0,CMAP,5109870,2.5e-05,6,MCF7,HT_HG-U133A_EA,DMSO,Chembridge,5109870,5109870,,,,
