Disease_ID,Disease,I,S,P,Precision,Recall
MONDO_0007254,breast cancer,62,33,112,53.2,29.5
EFO_0000400,diabetes mellitus,62,8,28,12.9,28.6
EFO_0004911,familial hypercholesterolemia,57,2,7,3.5,28.6
MONDO_0002529,skin squamous cell carcinoma,61,11,39,18.0,28.2
EFO_0003872,colitis,81,3,11,3.7,27.3
EFO_0000699,Sjogren's syndrome,66,1,4,1.5,25.0
EFO_0003870,intracranial aneurysm,64,1,4,1.6,25.0
EFO_0000557,childhood type dermatomyositis,62,1,4,1.6,25.0
EFO_0001065,endometriosis,60,1,4,1.7,25.0
MONDO_0002280,anemia,81,4,18,4.9,22.2
EFO_0000233,adenosquamous cell lung carcinoma,62,8,37,12.9,21.6
EFO_0000676,psoriasis,60,3,14,5.0,21.4
EFO_1001494,Psoriasis vulgaris,67,3,14,4.5,21.4
EFO_0003767,inflammatory bowel disease,64,3,15,4.7,20.0
MONDO_0009061,cystic fibrosis,60,1,5,1.7,20.0
EFO_0000401,Diabetic Nephropathy,64,1,9,1.6,11.1
EFO_0000274,Eczema,65,1,11,1.5,9.1
EFO_1000668,allergic contact dermatitis,63,0,2,0.0,0.0
MONDO_0013282,alpha 1-antitrypsin deficiency,59,0,1,0.0,0.0
MONDO_0018305,chronic granulomatous disease,65,0,4,0.0,0.0
EFO_0000280,Barrett's esophagus,58,0,2,0.0,0.0
EFO_0009441,Waldenstrom Macroglobulinemia,62,0,4,0.0,0.0
EFO_1001249,NASH,62,0,7,0.0,0.0
EFO_1000025,cystitis,34,0,0,0.0,
EFO_0000731,uterine fibroid,65,0,0,0.0,
Orphanet_654,nephroblastoma,60,0,0,0.0,
MONDO_0008678,Williams-Beuren syndrome,62,0,0,0.0,
EFO_0008507,interstitial cystitis,34,0,0,0.0,
EFO_0000479,hemorrhagic thrombocythemia,26,0,0,0.0,
MONDO_0011719,gastrointestinal stromal tumor,4,0,0,0.0,
MONDO_0010383,fragile X syndrome,105,0,0,0.0,
EFO_0003948,gastroesophageal reflux disease,58,0,0,0.0,
MONDO_0008056,myotonic dystrophy type 1,63,0,0,0.0,
EFO_1001345,alcoholic hepatitis,61,0,0,0.0,
EFO_0000668,pre-eclampsia,44,0,0,0.0,
EFO_0007149,appendicitis,62,0,0,0.0,
MONDO_0018544,adrenoleukodystrophy,62,0,0,0.0,
EFO_0002608,HIV encephalitis,61,0,0,0.0,
MONDO_0010726,Rett syndrome,63,0,0,0.0,
EFO_0003047,hepatitis C,29,0,0,0.0,
