drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action,match_type,matched_name_in_cmap
CHEMBL107,COLCHICINE,Structural protein,(-)-colchicine|Colchcine|Colchicine|Colchicinum|Colchineos|Colchisol|Lodoco|NSC-757,Small molecule,Tubulin inhibitor,drug_common_name,colchicine
CHEMBL1075,MORICIZINE,Ion channel,EN-313|EN-313 FREE BASE|Ethmozine|Moracizina|Moracizine|Moricizine,Small molecule,Sodium channel alpha subunit blocker,drug_synonym,moracizine
CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Ion channel|Membrane receptor,Amiodar|Amiodarone|Amiodarone hcl|Amiodarone hydrochloride|L-3428|Miodaron|NSC-343341|NSC-85442|Ortacrone|Ritmocardyl|SK&F-33134-A|SKF 33134-A|SKF-33134-A|Trangorex|VF-236,Small molecule,HERG blocker,drug_synonym,amiodarone
CHEMBL1098,BUPIVACAINE,Ion channel,"Bucaine|Bupivacaina|Bupivacaine|Bupivacaine liposome|LIQ-865|LIQ865|Liposomal bupivacaine|Marcaine|Ropivacaine hydrochloride impurity, bupivacaine-|SKY-0402|SKY0402|Sensorcaine",Small molecule,Sodium channel protein type IV alpha subunit blocker,drug_common_name,bupivacaine
CHEMBL1294,QUINIDINE,Ion channel,"(8r,9s)-quinidine|.beta.-quinidine|Conquinine|Kinidin|Pitayine|Quinidine",Small molecule,Sodium channel alpha subunit blocker,drug_common_name,quinidine
CHEMBL1544,LIOTHYRONINE,Transcription factor,"3,5,3'-triiodothyronine, l-|Cyronine|Euthroid-0.5|Euthroid-1|Euthroid-2|Euthroid-3|Levothyroxine sodium related compound liothyronine|Liothyronine|Liotironina|NSC-80203|Rathyronine|Rathyronine, (s)-|Thyrolar-0.25|Thyrolar-0.5|Thyrolar-1|Thyrolar-2|Thyrolar-3|Thyrolar-5|Triiodothyronine (T3 Or Liothyronine, Active) (6-11%)|Triostat",Small molecule,Thyroid hormone receptor agonist,drug_common_name,liothyronine
CHEMBL397420,ACENOCOUMAROL,Enzyme,Acenocoumarin|Acenocoumarol|Acenocumarol|Mini-sintrom|NSC-760052|Nicoumalone,Small molecule,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor,drug_common_name,acenocoumarol
CHEMBL471,SOTALOL,Ion channel|Membrane receptor,Betapace|C07AA07|Darob mite|Dl-sotalol|MJ-1999|Sorine|Sotalol,Small molecule,HERG blocker,drug_common_name,sotalol
CHEMBL517,DISOPYRAMIDE,Ion channel,(rs)-disopyramide|Dicorantil|Disopiramida|Disopyramide|Dl-disopyramide|H-3292|Isorythm|Lispine|Norpace|Ritmilen|Rythmodan p|SC-7031|Searle-703,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,disopyramide
CHEMBL526,PROPOFOL,Ion channel,"Disoprofol|Fresofol|ICI 35,868|ICI 35-868|ICI-35868|ICI35,868|Lipuro|NSC-5105|Phenol, 2,6-bis(1-methylethyl)|Propofol",Small molecule,GABA-A receptor; anion channel positive allosteric modulator,drug_common_name,propofol
CHEMBL631,PROPAFENONE,Ion channel,GNF-Pf-4594|Propafenon hexal|Propafenona|Propafenone|Rythmol,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,propafenone
CHEMBL633,AMIODARONE,Ion channel|Membrane receptor,Amiodarona|Amiodarone|Cordarone|L-3428|Pacerone|SKF 33134-A,Small molecule,HERG blocker,drug_common_name,amiodarone
CHEMBL640,PROCAINAMIDE,Ion channel,NSC-27461|Novocainamide|Procainamida|Procainamide|Procan|Procanbid|Procapan|Pronestyl|Pronestyl-SR|Sp 100 (pharmaceutical),Small molecule,Sodium channel alpha subunit blocker,drug_common_name,procainamide
CHEMBL645,BISOPROLOL,Membrane receptor,"Bisoprolol|CL 297,939|CL-297939|EMD 33 512|EMD-33-512|Zebeta|Ziac",Small molecule,Beta-1 adrenergic receptor antagonist,drug_common_name,bisoprolol
CHEMBL652,FLECAINIDE,Ion channel,Flecainida|Flecainide|NSC-719273|THN-102 COMPONENT FLECAINIDE,Small molecule,Sodium channel protein type V alpha subunit blocker,drug_common_name,flecainide
CHEMBL744,RILUZOLE,Ion channel,BHV-0223|NSC-753433|NSC-759823|RP 54274|RP-54274|Riluzol|Riluzole|Tiglutik,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,riluzole
CHEMBL865,VALDECOXIB,Enzyme,NSC-759846|SC-65872|Valdecoxib|Valdyn,Small molecule,Cyclooxygenase-2 inhibitor,drug_common_name,valdecoxib
CHEMBL611,TERAZOSIN,Membrane receptor,Hytrin|Terazosabb|Terazosin|Terazosina|Terazosine,Small molecule,Adrenergic receptor alpha-1 antagonist,drug_common_name,terazosin
CHEMBL707,DOXAZOSIN,Membrane receptor,C02CA04|Cardura|Doxazosin|Doxazosina|Doxazosine|UK-33274,Small molecule,Adrenergic receptor alpha-1 antagonist,drug_common_name,doxazosin
CHEMBL709,ALFUZOSIN,Membrane receptor,Alfuzosin|Alfuzosina|Alfuzosine|NSC-760065,Small molecule,Adrenergic receptor alpha-1 agonist,drug_common_name,alfuzosin
CHEMBL710,FINASTERIDE,Enzyme,Finasterida|Finasteride|MK-906|NSC-741485|NSC-759318,Small molecule,Steroid 5-alpha-reductase 2 inhibitor,drug_common_name,finasteride
CHEMBL517712,ATROPINE,Membrane receptor,Atropine|Atropinum|Dl-hyoscyamine,Small molecule,Muscarinic acetylcholine receptor M3 antagonist,drug_common_name,atropine
CHEMBL83,TAMOXIFEN,Transcription factor,ICI-46474|ICI-47699|Mammaton|NSC-727681|Nolvadex|Novaldex|Soltamox|Tamoplex|Tamoxifen|Tamoxifene|Tamoxifeno,Small molecule,Estrogen receptor alpha modulator,drug_common_name,tamoxifen
CHEMBL103,PROGESTERONE,Transcription factor,"NSC-64377|NSC-9704|Progesterona|Progesterone|Progesterone, micronized|Progesteronum|U 3672",Small molecule,Progesterone receptor agonist,drug_common_name,progesterone
CHEMBL1200374,EXEMESTANE,Enzyme,Exemestane|Exemestano|FCE-24304|FCE24304|NSC-758907|PNU-155971,Small molecule,Cytochrome P450 19A1 inhibitor,drug_common_name,exemestane
CHEMBL1444,LETROZOLE,Enzyme,CGS 20267|CGS-20267|Letrozol|Letrozole|NSC-759652,Small molecule,Cytochrome P450 19A1 inhibitor,drug_common_name,letrozole
CHEMBL1790041,RANITIDINE,Membrane receptor,NSC-757851|Ranitidina|Ranitidine|Tritec|Zantac,Small molecule,Histamine H2 receptor antagonist,drug_common_name,ranitidine
CHEMBL79,LIDOCAINE,Ion channel,ALGRX 3268|ALGRX-3268|Anestacon|Embolex|Iontocaine|Lidocaina|Lidocaine|Lidocainum|Lidocaton|Lidopen|Lignocaine|NSC-40030|Octocaine|Solarcaine|Xylestesin,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,lidocaine
CHEMBL139,DICLOFENAC,Enzyme,Arthrotec|Cataflam|Diclofenac|Diclofenac acid|Diclofenac free acid|Diclofenaco|LAS-41007|LAS41007|Las41007|Solaraze|Voltaren|Voltaren-XR,Small molecule,Cyclooxygenase inhibitor,drug_common_name,diclofenac
CHEMBL1008,BEPRIDIL,Ion channel,Bepadin|Bepridil|Vascor,Small molecule,Voltage-gated calcium channel blocker,drug_common_name,bepridil
CHEMBL1054,TRICHLORMETHIAZIDE,Transporter,NSC-61560|Trichlormethiazide|Trichloromethiazide|Triclormetiazida,Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor,drug_common_name,trichlormethiazide
CHEMBL1055,CHLORTHALIDONE,Transporter,Chlortalidone|Chlortalidonum|Chlorthalidone|Clortalidona|G-33182|NSC-69200|Natriuran|Phthalamudine,Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor,drug_synonym,chlortalidone
CHEMBL1148,TORSEMIDE,Transporter,AC-4464|AC4464|BM-02.015|BM-02015|BM02.015|Luprac|Torasemida|Torasemide|Torasemide anhydrous|Torsemide|Upcard,Small molecule,Sodium-(potassium)-chloride cotransporter 2 inhibitor,drug_synonym,torasemide
CHEMBL1197051,ISOXSUPRINE,Membrane receptor,Dilator|Isoxsuprina|Isoxsuprine,Small molecule,Adrenergic receptor alpha-1 antagonist,drug_common_name,isoxsuprine
CHEMBL1201212,MIDODRINE,Membrane receptor,Midodrina|Midodrine|ST 1085|ST-1085,Small molecule,Adrenergic receptor alpha-1 agonist,drug_common_name,midodrine
CHEMBL1201234,MEPHENTERMINE,Membrane receptor,Mefentermina|Mephentermine,Small molecule,Adrenergic receptor agonist,drug_common_name,mephentermine
CHEMBL1201319,METARAMINOL,Membrane receptor,Metaraminol,Small molecule,Adrenergic receptor alpha-1 agonist,drug_common_name,metaraminol
CHEMBL1290,PENBUTOLOL,Membrane receptor,Levatol|Penbutolol,Small molecule,Beta-1 adrenergic receptor antagonist,drug_common_name,penbutolol
CHEMBL1428,NIMODIPINE,Ion channel,Admon|BAY E 9736|BAY-E-9736|NSC-758476|Nemotan|Nimodipine|Nimodipine ap|Nimodipino|Periplum,Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,nimodipine
CHEMBL1480,FELODIPINE,Ion channel|Auxiliary transport protein,C08CA02|Felodipine|Felodipino|H 154/82|H-154/82|NSC-760343,Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,felodipine
CHEMBL1484,NICARDIPINE,Ion channel,Nicardipine|Nicardipine (stn)|Nicardipino|Perpidine,Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,nicardipine
CHEMBL159226,MOXISYLYTE,Membrane receptor,Acetoxythymoxamine|Carlytene|Moxisilita|Moxisylyte|Moxisylyte hcl|Moxisylyte hydrochloride|NSC-170448|Thymoxamine|Thymoxamine hcl|Thymoxamine hydrochloride,Small molecule,Adrenergic receptor alpha antagonist,drug_common_name,moxisylyte
CHEMBL1648,ISRADIPINE,Ion channel,Isradipine|Isradipino|Isrodipine|NSC-759892|PN 200-110|PN-200-110,Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,isradipine
CHEMBL193,NIFEDIPINE,Ion channel|Auxiliary transport protein,BAY A 1040|BAY-A-1040|Coracten|NSC-757242|Nifedipine|Nifedipine hydrochloride|Nifedipine slow release|Nifedipino|Nifedipinum,Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,nifedipine
CHEMBL2311030,ERGOLOID MESYLATES,Membrane receptor,Co-dergocrine mesilate|Co-dergocrine mesylate|Codergocrine mesilate|Dihydroergotoxine mesilate|Dihydroergotoxine mesylate|Dihydroergotoxine methanesulfonate|Dihydrogenated ergot alkaloids|Ergoloid mesilates|Ergoloid mesylates|Hydrogenated ergot alkaloids,Unknown,Dopamine receptor agonist,drug_synonym,co-dergocrine mesilate
CHEMBL24072,PRENYLAMINE,Unclassified protein,B-436|Prenilamina|Prenylamine|Prenylamine lactate,Small molecule,Calmodulin inhibitor,drug_common_name,prenylamine
CHEMBL294199,CAPSAICIN,Ion channel,ALGRX 4975|ALGRX-4975|Ausanil|Axsain|Capsaicin|Capsaicina|Capsaicine|Capzasin-hp|Cntx-4975|Dolenon|FEMA NO. 3404|Mioton|NGX-1998|NGX-4010|NSC-56353|Ngx-1998|Ovocap|Ratden pe 40|Togarashi orenji|Trans-capsaicin,Small molecule,Vanilloid receptor opener,drug_common_name,capsaicin
CHEMBL38380,FASUDIL,Enzyme,AT 877|AT-877|Fasudil|HA 1077|HA-1077|NSC-759827|ZK-258594,Small molecule,Rho-associated protein kinase inhibitor,drug_common_name,fasudil
CHEMBL404849,SULOCTIDIL,Ion channel,Bemperil|CP-556S|Cerebro|Circleton|Dulasi|Duloctil|Euvasal|Fluversin|Fluvisco|Hemoantin|Iangene|Loctidon|Locton|MJF 12637|MJF-12637|Octamet|Polivasal|Sudil|Suloctidil|Sulocton|Sulodene,Small molecule,Voltage-gated calcium channel blocker,drug_common_name,suloctidil
CHEMBL406,INDAPAMIDE,Transporter,Arifon|Bajaten|Damide|Flubest|Fludex|Fludin|Flupamid|Indaflex|Indamide|Indamol|Indapamida|Indapamide|Ipamix|KYD-041|Lorvas|NSC-757075|Natrix|Noranat|S-1520|SE-1520|Tandix|Tertensif|Veroxil,Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor,drug_common_name,indapamide
CHEMBL419213,LISINOPRIL,Enzyme,Lisinopril|Lisinopril dihydrate|Lisinopril hydrate|MK-521|NSC-751176|NSC-758151|Ranolip,Small molecule,Angiotensin-converting enzyme inhibitor,drug_common_name,lisinopril
CHEMBL429,LABETALOL,Membrane receptor,AH-5158A FREE BASE|Ibidomide|Labetalol|Normodyne|Normozide|SCH-15719W FREE BASE|Trandate,Small molecule,Adrenergic receptor antagonist,drug_common_name,labetalol
CHEMBL475534,NITRENDIPINE,Ion channel,BAY E 5009|BAY-E-5009|Bayotensin|Deiten|NSC-758466|Nidrel|Nitrendipine|Nitrendipino|Nitrepin,Small molecule,Voltage-gated L-type calcium channel blocker,drug_common_name,nitrendipine
CHEMBL495,ALPROSTADIL,Membrane receptor,"Alprostadil|NSC-165559|ONO-1608|Pge1|Prostaglandin e1|U-10,136|U-10136",Small molecule,Prostanoid EP2 receptor agonist,drug_common_name,alprostadil
CHEMBL500,PINDOLOL,Membrane receptor,(rs)-pindolol|Apo-pindol|Betapindol|Blocklin-l|Calvisken|Carvisken|Decreten|Dl-lb-46|Dl-pindolol|Durapindol|Glauco-visken|LB-46|NSC-757276|Pectobloc|Pinbetol|Pindolol|Prinodolol|Pynastin,Small molecule,Beta-2 adrenergic receptor partial agonist,drug_common_name,pindolol
CHEMBL503,LOVASTATIN,Unclassified protein|Enzyme,"6.alpha.-methylcompactin|C10AA02|L-154803|Lovastatin|Lovastatina|Lovastatine|MK-803|Mevinolin|Mevlor|Monacolin k|NSC-758662|Simvastatin impurity, lovastatin-|Sivlor",Small molecule,HMG-CoA reductase inhibitor,drug_common_name,lovastatin
CHEMBL506569,LANATOSIDE C,Enzyme,Allocor|Celadigal|Cetosanol|Digilanogen c|Isolanid|Isolanide|Lanatigen c|Lanatoside c|Lanatoside c jp 17|Lanatosido c|Lanimerck|NSC-119991|NSC-7533,Small molecule,Sodium/potassium-transporting ATPase inhibitor,drug_common_name,lanatoside c
CHEMBL521606,NADOLOL,Membrane receptor,NSC-758430|Nadolol|SQ 11725|SQ-11725,Small molecule,Beta-1 adrenergic receptor antagonist,drug_common_name,nadolol
CHEMBL524,METHOXAMINE,Membrane receptor,Methoxamine|Metoxamina|NRL-001|NRL001|Nrl001|Vasoxyl,Small molecule,Adrenergic receptor alpha-1 agonist,drug_common_name,methoxamine
CHEMBL565,CLOFIBRATE,Transcription factor,AY-61123|Chlorfenisate|Clofibrate|Clofibrato|Ethyl p-chlorophenoxyisobutyrate|ICI 28257|ICI-28257|NSC-79389,Small molecule,Peroxisome proliferator-activated receptor alpha agonist,drug_common_name,clofibrate
CHEMBL585,TRIAMTERENE,Ion channel,NSC-639359|NSC-77625|SK&F 8542|SK&F-8542|SK-8542|Triamterene|Triamtereno,Small molecule,"Amiloride-sensitive sodium channel, ENaC blocker",drug_common_name,triamterene
CHEMBL597,PHENTOLAMINE,Membrane receptor,Fentolamina|Phentolamin|Phentolamine,Small molecule,Adrenergic receptor alpha antagonist,drug_common_name,phentolamine
CHEMBL608,PROBUCOL,Transporter,DH-581|NSC-652160|NSC-86225|Probucol,Small molecule,ATP-binding cassette sub-family A member 1 inhibitor,drug_common_name,probucol
CHEMBL642,ACEBUTOLOL,Membrane receptor,Acebutolol|C07AB04|Sectral,Small molecule,Beta-1 adrenergic receptor antagonist,drug_common_name,acebutolol
CHEMBL75753,XAMOTEROL,Membrane receptor,"ICI-118,587|ICI-118587|Xamoterol",Small molecule,Beta-1 adrenergic receptor partial agonist,drug_common_name,xamoterol
CHEMBL75880,PERHEXILINE,Enzyme,Perhexilina|Perhexiline,Small molecule,Carnitine palmitoyltransferase 2 inhibitor,drug_common_name,perhexiline
CHEMBL770,TOLAZOLINE,Membrane receptor,NSC-35110|Priscoline|Tolazine|Tolazolina|Tolazoline,Small molecule,Histamine H2 receptor agonist,drug_common_name,tolazoline
CHEMBL772,RESERPINE,Transporter,Apoplon|ENT-50146|NSC-237659|NSC-59272|Reserpina|Reserpine|Reserpinum,Small molecule,Synaptic vesicular amine transporter inhibitor,drug_common_name,reserpine
CHEMBL839,CARTEOLOL,Membrane receptor,Carteolol|Cartrol|Ocupress,Small molecule,Adrenergic receptor beta antagonist,drug_common_name,carteolol
CHEMBL926,DOBUTAMINE,Membrane receptor,COMPOUND 81929|COMPOUND-81929|Dl-dobutamine|Dobutamina|Dobutamine|Dobutrex|Racemic dobutamine,Small molecule,Beta-1 adrenergic receptor agonist,drug_common_name,dobutamine
CHEMBL932,DIPYRIDAMOLE,Enzyme,B01AC07|Dipiridamol|Dipyridamole|NSC-515776|RA-8,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor",drug_common_name,dipyridamole
CHEMBL945,AMILORIDE,Ion channel,Amiclaran|Amilorida|Amiloride|Hydro-Ride|Midamor,Small molecule,"Amiloride-sensitive sodium channel, ENaC blocker",drug_common_name,amiloride
CHEMBL807,MEMANTINE,Ion channel,D-145|DRG-0267|Memantina|Memantine|NSC-757843|Namenda,Small molecule,Glutamate [NMDA] receptor negative allosteric modulator,drug_common_name,memantine
CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,Transcription factor,Beclometasona|Beclometasone|Beclometasone dipropionate|Beclomethasone|Beclomethasone dipropionate|Beclomethasone dipropionate monohydrate|NSC-755901|SCH 18020W|SCH 8020W|SCH-18020W|SGX-201|SGX-202|SGX-203,Small molecule,Glucocorticoid receptor agonist,drug_synonym,beclometasone
CHEMBL1201027,GLYCOPYRROLATE,Membrane receptor,"AD-237|AHR-504|Bromure de glycopyrronium|Bromuro de glicopirronio|CHF-5259|CHF5259|Glycopyrrolate|Glycopyrrolate, erythro-|Glycopyrrone bromide|Glycopyrronium (as bromide)|Glycopyrronium bromide|NSC-250836|NSC-251251|NSC-251252|NVA-237|NVA237|Nodapton|ORG-NC-45|PT-001|PT001|Robanul|Tarodyl|Tarodyn",Small molecule,Muscarinic acetylcholine receptor M3 antagonist,drug_synonym,glycopyrronium bromide
CHEMBL1201139,MEGESTROL ACETATE,Transcription factor,5071|BDH 1298|BDH-1298|Chronopil|Megesterol acetate|Megestrol|Megestrol 17.alpha.-acetate|Megestrol acetate|NSC-71423|SC 10363|SC-10363,Small molecule,Progesterone receptor agonist,drug_synonym,megestrol
CHEMBL1370,BUDESONIDE,Transcription factor,Budesonida|Budesonide|MAP-0010|MAP0010|NSC-757788|R01AD05|S-1320,Small molecule,Glucocorticoid receptor agonist,drug_common_name,budesonide
CHEMBL1451,TRIAMCINOLONE,Transcription factor,Fluoxiprednisolone|NSC-13397|Triamcinolona|Triamcinolone,Small molecule,Glucocorticoid receptor agonist,drug_common_name,triamcinolone
CHEMBL1760,TERBUTALINE,Membrane receptor,Asthmasian|Brethaire|Brethine|Bricanyl|Terbutalin|Terbutalina|Terbutaline,Small molecule,Beta-2 adrenergic receptor agonist,drug_common_name,terbutaline
CHEMBL30,CIMETIDINE,Membrane receptor,Aciloc|Acinil|Brumetidina|Cimal|Cimetidina|Cimetidine|Cimetidinum|Gastromet|NSC-335308|SKF-92334|Stomedine|Ulcedin|Ulcimet|Ulcomedina,Small molecule,Histamine H2 receptor antagonist,drug_common_name,cimetidine
CHEMBL32800,FENOTEROL,Membrane receptor,Airum|Dosberotec|Fenoterol|Fenoterol hbr|Fenoterol hydrobromide|NSC-757811|Partusisten|TH 1165A|TH 1165A FREE BASE|TH 1165A [AS HYDROBROMIDE SALT]|TH-1165|TH-1165A|TH-1165A FREE BASE,Small molecule,Beta-2 adrenergic receptor agonist,drug_common_name,fenoterol
CHEMBL494,ILOPROST,Membrane receptor,Ciloprost|Endoprost|Ilomedin|Iloprost|ZK 00036374|ZK-00036374|ZK-36374,Small molecule,Prostanoid IP receptor agonist,drug_common_name,iloprost
CHEMBL714,ALBUTEROL,Membrane receptor,Accuneb|Albuterol|Combivent|Duoneb|Etinoline|NSC-757417|PROVENTIL-HFA|SCH 13949W|SCH-13949W|Salbutamol|Salbutamolum|Ventoline|Volmax,Small molecule,Beta-2 adrenergic receptor agonist,drug_synonym,salbutamol
CHEMBL831,LOXAPINE,Membrane receptor,"CL 62,362|CL-62362|Loxapac|Loxapina|Loxapine|Loxitane|SUM 3170|SUM-3170",Small molecule,D2-like dopamine receptor antagonist,drug_common_name,loxapine
CHEMBL41,FLUOXETINE,Transporter,Fluoxetin ratiopharm|Fluoxetina|Fluoxetine|Fluval|NSC-283480|NSC-758685|Prozac|Sarafem|Symbyax,Small molecule,Serotonin transporter inhibitor,drug_common_name,fluoxetine
CHEMBL1560,CAPTOPRIL,Enzyme,"Apopril|C09AA01|Capoten|Captomax|Captopril|Captoprilum|Farcopril|Garranil|Hypopress|Mepha|NSC-757419|SA-333|SQ -14225|SQ 14,225|SQ-14225|Tensiomin|Zapto",Small molecule,Angiotensin-converting enzyme inhibitor,drug_common_name,captopril
CHEMBL456,ETHACRYNIC ACID,Transporter,Acide etacrynique|Acido etacrinico|Etacrynic acid|Ethacrynate|Ethacrynic acid|MK-595|NSC-624008|NSC-85791,Small molecule,Sodium-(potassium)-chloride cotransporter 2 inhibitor,drug_synonym,etacrynic acid
CHEMBL878,METOLAZONE,Transporter,Metazoline|Metolazona|Metolazone|Metozalone|NSC-759581|Normelan|Oldren|SR 720-22|SR-720-22,Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor,drug_common_name,metolazone
CHEMBL643,PROMETHAZINE,Membrane receptor,Dimapp|Diphergan|Fargan|NSC-30321|Phenergan|Proazamine|Procit|Prometazin|Prometazina|Promethacon|Promethazine|Promethegan|Protazine|Prothazin|RP-3277|Remsed|Vallergine|Zipan-25|Zipan-50,Small molecule,Histamine H1 receptor antagonist,drug_common_name,promethazine
CHEMBL704,MESALAMINE,Enzyme,"Benzoic acid, 5-amino-2-hydroxy-|Fisalamine|Iialda|MAX-002|Mesalamine|Mesalazina|Mesalazine|Mesalazine |NSC-38877",Small molecule,Arachidonate 5-lipoxygenase inhibitor,drug_synonym,mesalazine
CHEMBL1073,GLIPIZIDE,Transporter,"CP-28,720|CP-28720|Glipizida|Glipizide|Glipizide slow release|K 4024|K-4024|NSC-759120",Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_common_name,glipizide
CHEMBL1272,REPAGLINIDE,Transporter,A10BX02|AG-EE 623 ZW|AG-EE-623-ZW|AG-EE-623ZW|AGEE-623ZW|NSC-759893|Prandin|Repaglinida|Repaglinide,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_common_name,repaglinide
CHEMBL1276308,MIFEPRISTONE,Transcription factor,Mifepristona|Mifepristone|NSC-759862|RU 38486|RU 486|RU-38486|RU-486|RU486,Small molecule,Progesterone receptor antagonist,drug_common_name,mifepristone
CHEMBL1481,GLIMEPIRIDE,Transporter,Amaryl|Glimepirida|Glimepiride|HOE 490|HOE-490|NSC-759809,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_common_name,glimepiride
CHEMBL1551,URSODIOL,Transcription factor,Acide ursodeoxycholique|Acido ursodeoxicolico|NSC-683769|Ursodeoxycholate|Ursodeoxycholic acid|Ursodesoxycholic acid|Ursodiol|Ursonorm,Small molecule,Bile acid receptor FXR agonist,drug_synonym,ursodeoxycholic acid
CHEMBL408,TROGLITAZONE,Transcription factor|Epigenetic regulator,CI-991|CS-045|GR-92132X|GR92132X|Rezulin|Troglitazona|Troglitazone,Small molecule,Peroxisome proliferator-activated receptor gamma agonist,drug_common_name,troglitazone
CHEMBL427216,GLICLAZIDE,Ion channel,Gliclazida|Gliclazide|Glimicron|J3.151H|NSC-758673|S-1702|S-852|SE 1702|SE-1702,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_common_name,gliclazide
CHEMBL472,GLYBURIDE,Transporter,"Cirara|Glibenclamida|Glibenclamide|Glibenclamidum|Glybenclamide|Glyburide|HB 419|HB-419|NSC-759618|U-26,45|U-26,452|U-26452",Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_synonym,glibenclamide
CHEMBL498,CHLORPROPAMIDE,Ion channel,Chlorpropamide|Clorpropamida|NSC-44634|NSC-626720,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_common_name,chlorpropamide
CHEMBL59,DOPAMINE,Membrane receptor,A-dopamine|Dobutamine a|Dopamina|Dopamine|Intropin|Medopa|NSC-173182|Oxytyramine,Small molecule,Beta-1 adrenergic receptor agonist,drug_common_name,dopamine
CHEMBL629,AMITRIPTYLINE,Transporter,Amitriptilina|Amitriptyline|Damitriptyline|Flavyl|Laroxyl|Proheptadiene|Seroten|Triptanol,Small molecule,Norepinephrine transporter inhibitor,drug_common_name,amitriptyline
CHEMBL782,TOLBUTAMIDE,Ion channel,1-butyl-3-(p-tolylsulfonyl)urea|Arkozal|Butamide|Diabetamid|Ipoglicone|NSC-23813|NSC-87833|Tolbutamida|Tolbutamide|Tolbutamidum|Willbutamide,Small molecule,"Sulfonylurea receptor 1, Kir6.2 blocker",drug_common_name,tolbutamide
CHEMBL108,CARBAMAZEPINE,Auxiliary transport protein|Ion channel,Biston|Carbamazepina|Carbamazepine|Carbamazepine anhydrous|Carbamazepine extended release|Carbamazepinum|Finlepsin|G-32883|GEIGY 32883|Karbamazepin|Karbelex|NSC-169864|Neurotol|Neurotop|Sirtal|Stazepine|Tegretal|Telesmin|Timonil,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,carbamazepine
CHEMBL1095,ETHOTOIN,Ion channel,Accenon|Ethotoin|Ethotoine|Etotoina|NSC-760074,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,ethotoin
CHEMBL695,TRIMETHADIONE,Ion channel|Auxiliary transport protein,A 2297|Absentol|Epidione|J2.519D|Minoaleviatin|NSC-15799|NSC-169503|Tridone|Trimetadiona|Trimethadione|Trimethadionum|Troxidone,Small molecule,Voltage-gated T-type calcium channel blocker,drug_common_name,trimethadione
CHEMBL696,ETHOSUXIMIDE,Auxiliary transport protein|Ion channel,"CI-366|CN-10,395|CN-10395|Ethosuximide|Ethosuximidum|Etosuximida|NSC-64013|PM-671|Pyknolepsinum",Small molecule,Voltage-gated T-type calcium channel blocker,drug_common_name,ethosuximide
CHEMBL797,PHENSUXIMIDE,Auxiliary transport protein|Ion channel,1-methyl-3-phenylsuccinimide|Epimid|Fensuximida|Lifene|Milonton|Mirontin|N-methyl-3-phenylpyrrolidinedione|NSC-760079|PM-334|Phensuximid|Phensuximide|Racemic phensuximide|Succitimal,Small molecule,Voltage-gated T-type calcium channel blocker,drug_common_name,phensuximide
CHEMBL80,NALOXONE,Membrane receptor,Dbl naloxone|NSC-70413|Naloxona|Naloxone|Suboxone,Small molecule,Opioid receptors; mu/kappa/delta antagonist,drug_common_name,naloxone
CHEMBL856,PRIMIDONE,Ion channel,Lepimidin|NSC-41701|Primaclone|Primidona|Primidone|Resimatil,Small molecule,GABA-A receptor; anion channel positive allosteric modulator,drug_common_name,primidone
CHEMBL861,MEPHENYTOIN,Ion channel,Mefenitoina|Mephenytoin|Mephenytoine|Methoin|NSC-34652,Small molecule,Sodium channel alpha subunit blocker,drug_common_name,mephenytoin
CHEMBL89598,VIGABATRIN,Enzyme,"5-hexenoic acid, 4-amino-|CPP-109|Gamma vinyl gaba|Gamma-vinyl gaba|MDL 71,754|MDL-71754|RMI-71754|Vigabatrin|Vigabatrina|Vigabatrine|Vinyl gamma-aminobutyric acid",Small molecule,Gamma-amino-N-butyrate transaminase inhibitor,drug_common_name,vigabatrin
