drug_id,drug_common_name,drug_target_class,drug_synonyms,drug_type,drug_mechanism_of_action
CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,Enzyme,Pentaerithritol tetranitrate|Pentaerithrityl tetranitrate|Pentaerythritol tetranitrate|Pentaerythrityl tetranitrate|Pentalong|Pentanitrol|Tetranitrate de pentaerithrityle|Tetranitrato de pentaeritritilo,Small molecule,Soluble guanylate cyclase activator
CHEMBL475534,NITRENDIPINE,Ion channel,BAY E 5009|BAY-E-5009|Bayotensin|Deiten|NSC-758466|Nidrel|Nitrendipine|Nitrendipino|Nitrepin,Small molecule,Voltage-gated L-type calcium channel blocker
CHEMBL495,ALPROSTADIL,Membrane receptor,"Alprostadil|NSC-165559|ONO-1608|Pge1|Prostaglandin e1|U-10,136|U-10136",Small molecule,Prostanoid EP2 receptor agonist
CHEMBL500,PINDOLOL,Membrane receptor,(rs)-pindolol|Apo-pindol|Betapindol|Blocklin-l|Calvisken|Carvisken|Decreten|Dl-lb-46|Dl-pindolol|Durapindol|Glauco-visken|LB-46|NSC-757276|Pectobloc|Pinbetol|Pindolol|Prinodolol|Pynastin,Small molecule,Beta-2 adrenergic receptor partial agonist
CHEMBL503,LOVASTATIN,Unclassified protein|Enzyme,"6.alpha.-methylcompactin|C10AA02|L-154803|Lovastatin|Lovastatina|Lovastatine|MK-803|Mevinolin|Mevlor|Monacolin k|NSC-758662|Simvastatin impurity, lovastatin-|Sivlor",Small molecule,HMG-CoA reductase inhibitor
CHEMBL506569,LANATOSIDE C,Enzyme,Allocor|Celadigal|Cetosanol|Digilanogen c|Isolanid|Isolanide|Lanatigen c|Lanatoside c|Lanatoside c jp 17|Lanatosido c|Lanimerck|NSC-119991|NSC-7533,Small molecule,Sodium/potassium-transporting ATPase inhibitor
CHEMBL515606,CILAZAPRIL,Enzyme,Anhydrous cilazapril|Cilazapril|Cilazapril anhydrous|Cilazapril hydrate|Cilazapril monohydrate|Cilazaprilum|Initiss|Justor|RO 31-2848/006|RO-312848006,Small molecule,Angiotensin-converting enzyme inhibitor
CHEMBL517427,NILVADIPINE,Ion channel,"CL 287,389|CL-287,389|CL-287389|Dl-nilvadipine|Escor|FK 235|FK-235|FR-34235|Nilvadipine|Nilvadipino|Nivadil|Nivadip|Nivadipine|SK&F 102,362|SKF-102362",Small molecule,Voltage-gated L-type calcium channel blocker
CHEMBL521,IBUPROFEN,Enzyme,"Burana|IB-100|IP-82|Ibuprofen|Ibuprofene|Ibuprofeno|Ibuprofenum|M01AE01|NSC-256857|RD 13621|U-18,573|U-18573",Small molecule,Cyclooxygenase inhibitor
CHEMBL521606,NADOLOL,Membrane receptor,NSC-758430|Nadolol|SQ 11725|SQ-11725,Small molecule,Beta-1 adrenergic receptor antagonist
CHEMBL524,METHOXAMINE,Membrane receptor,Methoxamine|Metoxamina|NRL-001|NRL001|Nrl001|Vasoxyl,Small molecule,Adrenergic receptor alpha-1 agonist
CHEMBL5314348,BIVALIRUDIN,Enzyme,BG-8967|BG8967|Bivalirudin|Bivalirudina|Bivalirudine,Protein,Thrombin inhibitor
CHEMBL559,DEXTROTHYROXINE,Transcription factor,D-thyroxine|Dextrothyroxine,Small molecule,Thyroid hormone receptor agonist
CHEMBL565,CLOFIBRATE,Transcription factor,AY-61123|Chlorfenisate|Clofibrate|Clofibrato|Ethyl p-chlorophenoxyisobutyrate|ICI 28257|ICI-28257|NSC-79389,Small molecule,Peroxisome proliferator-activated receptor alpha agonist
CHEMBL585,TRIAMTERENE,Ion channel,NSC-639359|NSC-77625|SK&F 8542|SK&F-8542|SK-8542|Triamterene|Triamtereno,Small molecule,"Amiloride-sensitive sodium channel, ENaC blocker"
CHEMBL588,FENOLDOPAM,Membrane receptor,Carlacor|Fenoldopam|SK&F-82526|SK-82526,Small molecule,Dopamine D1 receptor agonist
CHEMBL597,PHENTOLAMINE,Membrane receptor,Fentolamina|Phentolamin|Phentolamine,Small molecule,Adrenergic receptor alpha antagonist
CHEMBL608,PROBUCOL,Transporter,DH-581|NSC-652160|NSC-86225|Probucol,Small molecule,ATP-binding cassette sub-family A member 1 inhibitor
CHEMBL642,ACEBUTOLOL,Membrane receptor,Acebutolol|C07AB04|Sectral,Small molecule,Beta-1 adrenergic receptor antagonist
CHEMBL6622,ISOSORBIDE DINITRATE,Enzyme,"C01DA08|Diluted isosorbide dinitrate|Diluted isosorbide dinitrate rs|Diluted-isosorbide dinitrate|Dinitrate d'isosorbide|Dinitrato de isosorbida|Isomannide dinitrate|Isomannide-dinitrate|Isosorbide dinitrate|Isosorbide dinitrate, diluted|Isosorbide dinitrate, diluted-|Isosorbidi dinitras dilutes|Isosorbidi dinitras dilutus|NSC-80038|Sorbide nitrate",Small molecule,Soluble guanylate cyclase activator
CHEMBL679,EPINEPHRINE,Membrane receptor,"(-)-(r)-epinephrine|(-)-epinephrine|Adrenaline|Adrenalinum|Epinefrina|Epinephrine|Epinephrine hcl|Epinephrine hydrochloride|Epinephrinum|Glauposine|L-epinephrine hydrochloride|Levo-methylaminoethanolcatechol|NSC-62786|Nephridine|Racepinefrine hydrochloride, (r)-|Racepinefrine, (r)-|Sus-phrine sulphite-free|Susphrine|Tonogen|Twinject",Small molecule,Adrenergic receptor agonist
CHEMBL708,ZIPRASIDONE,Ion channel|Membrane receptor,CP-88059|Geodon|Zipradon|Ziprasidona|Ziprasidone,Small molecule,Serotonin 2a (5-HT2a) receptor antagonist
CHEMBL730,NITROGLYCERIN,Enzyme,C01DA02|Chlormethine oxide hydrochloride|Diluted nitroglycerin|Glonoinum|Glyceryl Trinitrate|Glyceryl trinitrate|Glyceryl trinitrate solution|Imx-150|Mechlorethamine oxide hcl|Mitomen|Mustron|Nitora|Nitroglycerin|Nitroglycerin tablets|Nitromin hydrochloride|Transderm-Nitro|Trinitrin|Trinitrin tablets|Trinitrine,Small molecule,Soluble guanylate cyclase activator
CHEMBL75753,XAMOTEROL,Membrane receptor,"ICI-118,587|ICI-118587|Xamoterol",Small molecule,Beta-1 adrenergic receptor partial agonist
CHEMBL75880,PERHEXILINE,Enzyme,Perhexilina|Perhexiline,Small molecule,Carnitine palmitoyltransferase 2 inhibitor
CHEMBL768,ESMOLOL,Membrane receptor,ASL-8052-001|Esmolol,Small molecule,Beta-1 adrenergic receptor antagonist
CHEMBL770,TOLAZOLINE,Membrane receptor,NSC-35110|Priscoline|Tolazine|Tolazolina|Tolazoline,Small molecule,Histamine H2 receptor agonist
CHEMBL772,RESERPINE,Transporter,Apoplon|ENT-50146|NSC-237659|NSC-59272|Reserpina|Reserpine|Reserpinum,Small molecule,Synaptic vesicular amine transporter inhibitor
CHEMBL813,EPROSARTAN,Membrane receptor,Eprosartan|SK&F 108566|SK&F-108566|SK-108566|Teveten,Small molecule,Type-1 angiotensin II receptor antagonist
CHEMBL839,CARTEOLOL,Membrane receptor,Carteolol|Cartrol|Ocupress,Small molecule,Adrenergic receptor beta antagonist
CHEMBL842,CHLOROTHIAZIDE,Transporter,"Chlorothiazide|Chlorthiazide|Clorotiazida|Hydrochlorothiazide impurity, chlorothiazide-|NSC-25693",Small molecule,Thiazide-sensitive sodium-chloride cotransporter inhibitor
CHEMBL926,DOBUTAMINE,Membrane receptor,COMPOUND 81929|COMPOUND-81929|Dl-dobutamine|Dobutamina|Dobutamine|Dobutrex|Racemic dobutamine,Small molecule,Beta-1 adrenergic receptor agonist
CHEMBL932,DIPYRIDAMOLE,Enzyme,B01AC07|Dipiridamol|Dipyridamole|NSC-515776|RA-8,Small molecule,"3',5'-cyclic phosphodiesterase inhibitor"
CHEMBL945,AMILORIDE,Ion channel,Amiclaran|Amilorida|Amiloride|Hydro-Ride|Midamor,Small molecule,"Amiloride-sensitive sodium channel, ENaC blocker"
CHEMBL1699,MEMANTINE HYDROCHLORIDE,Ion channel,Acrescent|Auxura|Balaxur|FP-01|Memantine accord|Memantine hcl|Memantine hydrochloride|Memantine lek|Memantine merz|Memantine mylan|Memantine ratiopharm|Memary|NSC-102290|SUN-Y7017,Small molecule,Glutamate [NMDA] receptor negative allosteric modulator
CHEMBL807,MEMANTINE,Ion channel,D-145|DRG-0267|Memantina|Memantine|NSC-757843|Namenda,Small molecule,Glutamate [NMDA] receptor negative allosteric modulator
CHEMBL538867,PATIDEGIB,Membrane receptor,FIN-5|IP-9|IP9 FREE BASE|IPI 926|IPI-926|IPI-926 FREE BASE|Ipi-926|Patidegib|Saridegib,Small molecule,Smoothened homolog antagonist
CHEMBL4594445,ABEPRAZAN,Enzyme,Abeprazan|DWP-14012|DWP14012|Dwp14012|Fexuprazan,Small molecule,Potassium-transporting ATPase inhibitor
CHEMBL1201740,NILOTINIB HYDROCHLORIDE MONOHYDRATE,Unclassified protein|Enzyme,Nilotinib (as hydrochloride)|Nilotinib Hydrochloride Monohydrate|Nilotinib hydrochloride|Nilotinib hydrochloride anhydrous|Nilotinib hydrochloride hydrate|Nilotinib hydrochloride monohydrate,Small molecule,Tyrosine-protein kinase ABL inhibitor
CHEMBL298734,LONAFARNIB,Enzyme,Lonafarnib|SCH 66336|SCH-66336|SCH66336|Sarasar,Small molecule,Protein farnesyltransferase inhibitor
CHEMBL4130229,VODOBATINIB,Unclassified protein|Enzyme,K-0706|K0706|Sco-088|Vodobatinib,Small molecule,Tyrosine-protein kinase ABL inhibitor
CHEMBL4297220,ASCIMINIB HYDROCHLORIDE,Unclassified protein|Enzyme|Other cytosolic protein,ABL001-AAA|Asciminib hydrochloride|Scemblix,Small molecule,Bcr/Abl fusion protein inhibitor
CHEMBL4297524,RADOTINIB,Unclassified protein|Enzyme,IY5511|Radotinib,Small molecule,Bcr/Abl fusion protein inhibitor
CHEMBL4297819,ROPEGINTERFERON ALFA-2B,Membrane receptor,Aop2014|Besremi|P-1101|P1101|Ropeginterferon alfa-2b|Ropeginterferon alfa-2b njft|Ropeginterferon alfa-2b-njft,Unknown,Interferon alpha/beta receptor positive modulator
CHEMBL1002,LEVOSALBUTAMOL,Membrane receptor,ASF-1096|Albuterol (r)-form|Levalbuterol|Levosalbutamol|R-salbutamol|Xopenex,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1082607,SALMETEROL XINAFOATE,Membrane receptor,GR 33343 G|GR-33343 G|GR-33343X|LIPO-202|Salmeterol 1-hydroxy-2-naphthoate|Salmeterol xinafoate,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1083385,CLOPIDOGREL BISULFATE,Membrane receptor,Clopidogrel (as bisulfate)|Clopidogrel (as hydrogen sulfate)|Clopidogrel bisulfate|Clopidogrel bisulphate|Clopidogrel bms|Clopidogrel hydrogen sulfate|Clopidogrel hydrogen sulphate|Clopidogrel ratiopharm|Clopidogrel sulfate|Clopidogrel teva|Clopidogrel zentiva|Clopidogrel-bgr|Clopidogrel-bms|Isocover|Pidogrel|SR 25990C|SR-25990C,Small molecule,Purinergic receptor P2Y12 antagonist
CHEMBL1084172,VILANTEROL TRIFENATATE,Membrane receptor,GW-642444M|GW642444M|Vilanterol (as trifenatate)|Vilanterol trifenatate,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1088752,LOSMAPIMOD,Unclassified protein|Enzyme,FTX-1821|FTX1821|GSK-AHAB|GSKAHAB|GW-856553X|GW856553|GW856553X|Gw-856553|Gw856553|Losmapimod,Small molecule,MAP kinase p38 alpha inhibitor
CHEMBL1187833,UMECLIDINIUM,Membrane receptor,GSK-573719|GSK573719|Umeclidinium|Umeclidinium cation|Umeclidinium ion,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL1194325,ACLIDINIUM,Membrane receptor,Aclidinium|Aclidinium cation|Aclidinium ion,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL1198857,VILANTEROL,Membrane receptor,GW-642444|GW-642444X|GW642444|GW642444X|Vilanterol,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,Transcription factor,Beclometasona|Beclometasone|Beclometasone dipropionate|Beclomethasone|Beclomethasone dipropionate|Beclomethasone dipropionate monohydrate|NSC-755901|SCH 18020W|SCH 8020W|SCH-18020W|SGX-201|SGX-202|SGX-203,Small molecule,Glucocorticoid receptor agonist
CHEMBL1200681,MONTELUKAST SODIUM,Membrane receptor,MK-476|Montelukast (as sodium)|Montelukast monosodium salt|Montelukast sodium|NSC-759107,Small molecule,Cysteinyl leukotriene receptor 1 antagonist
CHEMBL1200689,NITRIC OXIDE,Enzyme,"Amidogen, oxo-|Inovent|Nitric oxide|Nitric oxide trimer|Nitrogen oxide (no)|Nitrosyl radical|OHM-11771",Small molecule,Soluble guanylate cyclase activator
CHEMBL1201014,PREDNISOLONE SODIUM PHOSPHATE,Transcription factor,NSC-759187|Prednisolone 21-disodium phosphate|Prednisolone sodium phosphate|Prednisoloni natrii phosphas,Small molecule,Glucocorticoid receptor agonist
CHEMBL1201027,GLYCOPYRROLATE,Membrane receptor,"AD-237|AHR-504|Bromure de glycopyrronium|Bromuro de glicopirronio|CHF-5259|CHF5259|Glycopyrrolate|Glycopyrrolate, erythro-|Glycopyrrone bromide|Glycopyrronium (as bromide)|Glycopyrronium bromide|NSC-250836|NSC-251251|NSC-251252|NVA-237|NVA237|Nodapton|ORG-NC-45|PT-001|PT001|Robanul|Tarodyl|Tarodyn",Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL1201139,MEGESTROL ACETATE,Transcription factor,5071|BDH 1298|BDH-1298|Chronopil|Megesterol acetate|Megestrol|Megestrol 17.alpha.-acetate|Megestrol acetate|NSC-71423|SC 10363|SC-10363,Small molecule,Progesterone receptor agonist
CHEMBL1201335,GLYCOPYRRONIUM,Membrane receptor,"Glycopyrrolate cation|Glycopyrrolate ion|Glycopyrronium|Glycopyrronium cation|Glycopyrronium ion|Glycopyrronium, erythro-",Small molecule,Muscarinic acetylcholine receptor inhibitor
CHEMBL1201562,INTERFERON BETA-1A,Membrane receptor,Interferon beta-1a|SNG-001|SNG001|Sng001,Protein,Interferon alpha/beta receptor agonist
CHEMBL1201581,INFLIXIMAB,Secreted protein,ABP 710|Abp-710|Avsola|BOW015|Bow-015|Ct p13|Ct-p-13|Ct-p13|Infimab|Infliximab|Infliximab (janssen)|Infliximab (remicade)|Infliximab abda|Infliximab axxq|Infliximab biosimilar (amgen)|Infliximab biosimilar (celltrion)|Infliximab biosimilar (pfizer)|Infliximab biosimilar (sb-2)|Infliximab dyyb|Infliximab qbtx|Infliximab-abda|Infliximab-axxq|Infliximab-dyyb|Infliximab-hjmt|Infliximab-pfizer|Infliximab-qbtx|Ixifi|NI-071|Pf-06438179|TA-650|Zessly|cA2,Antibody,TNF-alpha inhibitor
CHEMBL1201631,INSULIN HUMAN,Enzyme,"Biosulin r|Capsulin|Exubera (inhaled insulin human)|High molecular weight insulin human|Human insulin|Humulin|Insulin|Insulin (human)|Insulin Recombinant Human|Insulin human|Insulin human (biosynthesis)|Insulin human (rdna)|Insulin human (synthesis)|Insulin human lente|Insulin human nph|Insulin human rdna|Insulin human regular|Insulin human regular (rdna)|Insulin human semisynthetic|Insulin human, rdna origin|Insulin recombinant human|Insulin recombinant purified human|Insulin reconbinanet human|Insulin semi synthetic human|Insulin semisynthetic human|Insulin, human|Insulin,regular,human buffered|Insulin,ultralente,human|Insulina humana|Insuline humaine|Regular insulin, human|Viatab",Protein,Insulin receptor agonist
CHEMBL1215923,BIMOSIAMOSE,Adhesion,Bimosiamosa|Bimosiamose|TBC-1269,Small molecule,Selectin inhibitor
CHEMBL1237026,TESAMORELIN,Membrane receptor,TH-9507|TH9507|Tesamorelin|Tesamorelina|Tesamoreline,Protein,Growth hormone-releasing hormone receptor agonist
CHEMBL1237119,TREPROSTINIL,Membrane receptor,15-AU-81|15AU81|L-606|LRX -15|LRX-15|Rumodolin|Treprostinil|Treprostinilo|Tresprostinil|UT-15|Uniprost,Small molecule,Prostanoid IP receptor agonist
CHEMBL1256786,FORMOTEROL,Membrane receptor,Formoterol,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1263,SALMETEROL,Membrane receptor,Cryogenine|GR 33343 X|GR-33343-X|GR-33343X|NSC-272693|SN408D|Salmaterol|Salmeterol|Serevent,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1363,ARFORMOTEROL,Membrane receptor,"(-)-formoterol|(r,r)-formoterol|Arformoterol|Formoterol r,r-form",Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1370,BUDESONIDE,Transcription factor,Budesonida|Budesonide|MAP-0010|MAP0010|NSC-757788|R01AD05|S-1320,Small molecule,Glucocorticoid receptor agonist
CHEMBL1441059,ALBUTEROL SULFATE,Membrane receptor,Albuterol sulfate|Albuterol sulphate|Buventol|Ecovent|Hexotonal|Loftan|NSC-289928|R03AC02|R03CC02|SCH 13949W SULFATE|SCH-13949W SULFATE|Salamol|Salbumol|Salbutamol (as sulfate)|Salbutamol sulfate|Salbutamol sulphate|Salbutamoli sulfas|Sch 13949w sulphate|Sch-13949w sulphate|Sulbutamol (as sulphate)|Sultanol|Torpex|Venetlin|Ventilastin|Vospire,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1451,TRIAMCINOLONE,Transcription factor,Fluoxiprednisolone|NSC-13397|Triamcinolona|Triamcinolone,Small molecule,Glucocorticoid receptor agonist
CHEMBL1621597,IPRATROPIUM,Membrane receptor,Ipratropium|Ipratropium cation|Ipratropium ion,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL1676,FLUTICASONE FUROATE,Transcription factor,Allermist|Ennhale|Fluticasone furoate|Furamist|Furoate de fluticasone|Furoato de fluticasona|GSK 685 698|GSK-685968|GSK685968|GW-685698X|GW685698X,Small molecule,Glucocorticoid receptor agonist
CHEMBL1742420,AMELUBANT,Membrane receptor,Amelubant|BIIL 284|BIIL 284 BS|BIIL-284|BIIL-284BS|BIIL284 BS|Biil 284 bs|LS-49968,Small molecule,Leukotriene B4 receptor 1 antagonist
CHEMBL1760,TERBUTALINE,Membrane receptor,Asthmasian|Brethaire|Brethine|Bricanyl|Terbutalin|Terbutalina|Terbutaline,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1789842,INDACATEROL MALEATE,Membrane receptor,Indacaterol (as maleate)|Indacaterol maleate|Indacterol maleate|QAB-149-AFA|QAB149-AFA,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL1900528,TIOTROPIUM,Membrane receptor,Tiotropium|Tiotropium cation|Tiotropium ion,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL1938400,PF-03715455,Unclassified protein|Enzyme,PF-03715455|Pf-03715455|Pf-3715455,Small molecule,MAP kinase p38 alpha inhibitor
CHEMBL1951071,ARFORMOTEROL TARTRATE,Membrane receptor,"Arformoterol tartrate|Formoterol r,r-form l-tartrate",Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL2010601,IVACAFTOR,Unclassified protein|Ion channel,Ivacaftor|VX-770,Small molecule,Cystic fibrosis transmembrane conductance regulator positive modulator
CHEMBL2103838,DILMAPIMOD,Unclassified protein|Enzyme,Dilmapimod|Gw-681323|SB-681323|SB681323,Small molecule,MAP kinase p38 alpha inhibitor
CHEMBL2105743,OLODATEROL HYDROCHLORIDE,Membrane receptor,BI 1744 CL|BI-1744 CL|BI-1744-CL|Olodaterol hydrochloride,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL2108429,MEPOLIZUMAB,Secreted protein,Mepolizumab|SB-240563,Antibody,Interleukin-5 inhibitor
CHEMBL2109604,CAMOTESKIMAB,Secreted protein,AEVI-007|Aevi-007|CERC-007|Camoteskimab|MEDI-2338|MEDI2338,Antibody,Interleukin-18 cross-linking agent
CHEMBL2111083,BEDORADRINE,Membrane receptor,Bedoradrina|Bedoradrine,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL216981,NAVARIXIN,Membrane receptor,Mk-7123|Navarixin|PS-291822|PS291822|SCH-527123|SCH527123,Small molecule,Interleukin-8 receptor A antagonist
CHEMBL2178570,AZD4818,Membrane receptor,AZD-4818|AZD4818|Azd 4818|Azd-4818|Azd4818,Small molecule,C-C chemokine receptor type 1 antagonist
CHEMBL2178579,ELUBRIXIN,Membrane receptor,Elubrixin|Elubrixina|Elubrixine|SB-656933|SB-656933-AAF|SB656933|Sb-656933,Small molecule,Interleukin-8 receptor B antagonist
CHEMBL217899,TOFIMILAST,Enzyme,"CP-325,366|CP-325366|Tofimilast",Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL2216859,NEMIRALISIB,Enzyme,GSK-2269557|GSK-2269557 FREE BASE|GSK-2269557A|GSK2269557A|Nemiralisib,Small molecule,PI3-kinase p110-delta subunit inhibitor
CHEMBL2218893,BEDORADRINE SULFATE,Membrane receptor,Bedoradrine sulfate|Bedoradrine sulphate|KUR-1246|MN-221,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL2308782,DAROTROPIUM BROMIDE,Membrane receptor,Bromure de darotropium|Bromuro de darotropio|Darotropium bromide|GSK-233705|GSK-233705B|GSK233705|GSK233705B,Small molecule,Muscarinic acetylcholine receptor antagonist
CHEMBL2365940,DAROTROPIUM,Membrane receptor,Darotropium cation|Darotropium ion,Small molecule,Muscarinic acetylcholine receptor antagonist
CHEMBL30,CIMETIDINE,Membrane receptor,Aciloc|Acinil|Brumetidina|Cimal|Cimetidina|Cimetidine|Cimetidinum|Gastromet|NSC-335308|SKF-92334|Stomedine|Ulcedin|Ulcimet|Ulcomedina,Small molecule,Histamine H2 receptor antagonist
CHEMBL3039518,BATEFENTEROL,Membrane receptor,Batefenterol|GSK-961081|GSK-961081A|GSK961081|GSK961081A|TD-5959,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL3039530,ABEDITEROL,Membrane receptor,Abediterol|LAS-100977|LAS100977,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL3039531,DANIRIXIN,Membrane receptor,Danirixin|Danirixina|Danirixine|GSK-1325756B|GSK1325756|GSK1325756B|Gsk1325756,Small molecule,Interleukin-8 receptor B antagonist
CHEMBL3113974,TRANIMILAST,Enzyme,CHF6001|Chf-6001|Chf6001|J3.309.618F|Tanimilast|Tranimilast,Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL3137353,BIMAGRUMAB,Enzyme,BYM-338|BYM338|Bimagrumab|O81t794r34,Antibody,Activin receptor type-2B antagonist
CHEMBL32800,FENOTEROL,Membrane receptor,Airum|Dosberotec|Fenoterol|Fenoterol hbr|Fenoterol hydrobromide|NSC-757811|Partusisten|TH 1165A|TH 1165A FREE BASE|TH 1165A [AS HYDROBROMIDE SALT]|TH-1165|TH-1165A|TH-1165A FREE BASE,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL332750,TETOMILAST,Enzyme,OPC-6535|Tetomilast,Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL3544968,GSK-610677,Unclassified protein|Enzyme,Gsk-610677,Small molecule,MAP kinase p38 alpha inhibitor
CHEMBL3545103,AZD3199,Membrane receptor,Azd3199,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL3545162,PBF-680,Membrane receptor,Pbf-680,Small molecule,Adenosine A1 receptor antagonist
CHEMBL3545181,TIOTROPIUM BROMIDE,Membrane receptor,BA 679 BR|BA-679 BR|BA-679-BR|BA-679BR|Bromure de tiotropium|Bromuro de tiotropio|Tiotropium bromide|Tiotropium bromide anhydrous|Tiotropium bromide hydrate|Tiotropium bromide monohydrate,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL3545221,AZD2423,Membrane receptor,Azd2423,Small molecule,C-C chemokine receptor type 2 antagonist
CHEMBL3545222,AZD8683,Membrane receptor,Azd8683,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL3617964,ALVELESTAT,Enzyme,AZD-9668|AZD9668|Alvelestat|Azd9668|MPH-966|MPH966|Mph966,Small molecule,Leukocyte elastase inhibitor
CHEMBL3666807,VELSECORAT,Transcription factor,AZD-7594|AZD7594|Azd 7594|Azd7594|Velsecorat,Small molecule,Glucocorticoid receptor modulator
CHEMBL3707243,GLYCOPYRRONIUM TOSYLATE,Membrane receptor,DRM-04|DRM04|Glycopyrronium tosilate hydrate|Glycopyrronium tosylate,Small molecule,Muscarinic acetylcholine receptor inhibitor
CHEMBL3707249,ASM-024,Ion channel,Asm-024,Small molecule,Neuronal acetylcholine receptor; alpha3/beta4 antagonist
CHEMBL3833319,REVEFENACIN,Membrane receptor,GSK-1160724|GSK1160724|Revefenacin|Revefenacina|Revefenacine|TD-4208,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL3916700,LAS190792,Membrane receptor,Azd 8999|LAS-190792|Las190792,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL3989798,FORMOTEROL FUMARATE,Membrane receptor,Atock|BD 40A|BD-40A|CGP 25827A|CGP-25827A|Eformoterol|Fomoterol fumarate|Foraseq|Formoterol fumarate|Formoterol fumarate (superceded)|Formoterol fumarate anhydrous|Formoterol fumarate dihydrate|Formoterol fumarate hydrate|Formoterol hemifumarate|NSC-299587|Oxeze|YM-08316,Small molecule,Beta-2 adrenergic receptor agonist
CHEMBL4072756,AZD-5423,Transcription factor,AZD5423|Azd 5423|Azd-5423|Azd5423,Small molecule,Glucocorticoid receptor modulator
CHEMBL4297352,AZD-1236,Enzyme,AZD1236|Azd 1236|Azd-1236|Azd1236,Small molecule,Matrix metalloproteinase 12 inhibitor
CHEMBL4297436,SRT-2104,Epigenetic regulator|Unclassified protein,SRT2104|Srt-2104|Srt2104,Small molecule,NAD-dependent deacetylase sirtuin 1 activator
CHEMBL4297483,NAVAFENTEROL,Membrane receptor,AZD-8871|AZD8871|Azd 8871|Azd8871|LAS-191351|LAS191351|Navafenterol,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
CHEMBL4297520,OGLEMILAST,Enzyme,GRC 3845|Oglemilast,Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL4297590,DARIDOREXANT,Membrane receptor,ACT-541468|Act-541468|DEA NO. 2410|Daridorexant|Nemorexant,Small molecule,Orexin receptor antagonist
CHEMBL4297600,RELDESEMTIV,Unclassified protein,CK-2127107|Ck-2127107|Reldesemtiv,Small molecule,Fast skeletal troponin complex activator
CHEMBL4297701,BIO-11006,Unclassified protein,BIO-11006|Bio-11006,Unknown,Myristoylated alanine-rich C-kinase substrate inhibitor
CHEMBL4297879,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,Enzyme,.alpha.-1 protease inhibitor|.alpha.1-antitrypsin|.alpha.1-proteinase inhibitor human|Alfa1 antitrypsin|Alpha 1-antitrypsin|Alpha-1 protease inhibitor|Alpha-1 proteinase inhibitor (human)|Alpha-1-antiproteinase|Alpha-1-antitrypsin|Alpha1-proteinase inhibitor|Alpha1-proteinase inhibitor (human)|Aralast|Atc-b02ab02|Glassia|Human alpha1-proteinase inhibitor|Prolastin|Prolastin-c|Zemaira,Protein,Leukocyte elastase inhibitor
CHEMBL4594287,ENSIFENTRINE,Enzyme,"Ensifentrina|Ensifentrine|Ls-193,855|Ls-193855|RPL-554|RPL554",Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL494,ILOPROST,Membrane receptor,Ciloprost|Endoprost|Ilomedin|Iloprost|ZK 00036374|ZK-00036374|ZK-36374,Small molecule,Prostanoid IP receptor agonist
CHEMBL511115,CILOMILAST,Enzyme,Ariflo|Cilomilast|SB 207499|SB-207499|SB207499,Small molecule,Phosphodiesterase 4 inhibitor
CHEMBL523299,UMECLIDINIUM BROMIDE,Membrane receptor,Anoro ellipta|Bromure d'umeclidinium|Bromuro de umeclidinio|GSK-573719A|GSK573719A|Umeclidinium brom|Umeclidinium bromide,Small molecule,Muscarinic acetylcholine receptor M3 antagonist
