figure_family,generator_script,direct_input_path,provenance_type,original_source,notes
case_study_endometriosis,endometriosis/scripts/visualization/generate_case_study_endometriosis.R,endometriosis/results/case_study_heatmap_provenance/preserved_replication_tables,restored_from_dump,dump/endo_tomiko_code/replication/e2e_rawdata,Preserved replication matrices and summaries
case_study_endometriosis,endometriosis/scripts/visualization/generate_case_study_endometriosis.R,endometriosis/results/case_study_heatmap_provenance/README.md,partial_gap,not_found,Original Tahoe six-signature hit tables used by the heatmap script were not found
disease_signature_analysis,creeds/scripts/visualization/plot_disease_signature_filtering.R,creeds/data/manual_signatures_standardized,live_curated_path,creeds/data/manual_signatures_standardized,Direct script input
disease_signature_analysis,creeds/scripts/visualization/plot_disease_signature_filtering.R,creeds/data/signature_gene_counts_across_stages.csv,live_curated_path,creeds/data/signature_gene_counts_across_stages.csv,Direct script input
drug_class_distributions,creeds/scripts/visualization/plot_drug_class_distributions.py,creeds/results/drug_class_distributions/open_target_drug_tables/open_target_drugs_in_cmap.csv,restored_from_dump,dump/old_tahoe_cmap_analysis_mar_30/case_study_special/case_study_disease_category/about_drugs/open_target_drugs_in_cmap.csv,Direct script input
drug_class_distributions,creeds/scripts/visualization/plot_drug_class_distributions.py,creeds/results/drug_class_distributions/open_target_drug_tables/open_target_drugs_in_tahoe.csv,restored_from_dump,dump/old_tahoe_cmap_analysis_mar_30/case_study_special/case_study_disease_category/about_drugs/open_target_drugs_in_tahoe.csv,Direct script input
drug_class_distributions,creeds/scripts/visualization/plot_drug_class_distributions.py,creeds/results/drug_class_distributions/disease_therapeutic_area_tables/creeds_diseases_with_known_drugs.csv,restored_from_dump,dump/old_tahoe_cmap_analysis_mar_30/case_study_special/case_study_disease_category/about_diseases/creeds_diseases_with_known_drugs.csv,Direct script input
platform_comparison,scripts/visualization/generate_platform_comparison.R,data/drug_signatures/cmap/cmap_signatures.RData,live_curated_path,data/drug_signatures/cmap/cmap_signatures.RData,Large curated matrix kept in place and not duplicated
platform_comparison,scripts/visualization/generate_platform_comparison.R,data/drug_signatures/tahoe/tahoe_signatures.RData,live_curated_path,data/drug_signatures/tahoe/tahoe_signatures.RData,Large curated matrix kept in place and not duplicated
platform_comparison,scripts/visualization/generate_platform_comparison.R,data/drug_signatures/cmap/cmap_drug_experiments_new.csv,live_curated_path,data/drug_signatures/cmap/cmap_drug_experiments_new.csv,Direct script input
platform_comparison,scripts/visualization/generate_platform_comparison.R,data/drug_signatures/cmap/cmap_valid_instances_OG_015.csv,live_curated_path,data/drug_signatures/cmap/cmap_valid_instances_OG_015.csv,Direct script input
platform_comparison,scripts/visualization/generate_platform_comparison.R,data/drug_signatures/tahoe/tahoe_drug_experiments_new.csv,live_curated_path,data/drug_signatures/tahoe/tahoe_drug_experiments_new.csv,Direct script input
platform_comparison,scripts/visualization/generate_platform_comparison.R,creeds/data/manual_signatures_extracted,live_curated_path,creeds/data/manual_signatures_extracted,Direct script input for signature-strength panels
platform_comparison,scripts/visualization/generate_platform_comparison.R,data/drug_evidence/open_targets/known_drug_info_data.parquet,live_curated_path,data/drug_evidence/open_targets/known_drug_info_data.parquet,Direct script input
